signal,domain,mode,buffer_size,overload,trial,snr_db,mse,max_wait_ms,deriv_ratio,drops,rpeak_f1,rpeak_precision,rpeak_recall,rpeak_timing_ms,spectral_correlation
ecg_105,ecg,DROP,256,3,1,33.6440,6.417431e-05,0.0025,0.9173,841,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,RANDOM_DROP,256,3,1,22.0355,9.294217e-04,0.0178,0.8778,843,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,DROP_MIDDLE,256,3,1,34.2617,5.566562e-05,0.0080,0.9250,842,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,DROP_LOW_VARIANCE,256,3,1,34.9048,4.800483e-05,0.0028,0.8725,838,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,ADAPTIVE,256,3,1,36.2843,3.494062e-05,0.2226,0.9367,691,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,LEGACY_IMPORTANCE,256,3,1,34.4434,5.338573e-05,0.0217,0.9307,828,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_FIRST_ORDER,256,3,1,34.3913,5.402910e-05,0.0558,0.9315,831,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_WINDOWED_ENERGY,256,3,1,34.5552,5.202871e-05,0.0221,0.8860,823,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_COMPOSITE,256,3,1,35.4878,4.197375e-05,0.0295,0.9098,813,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_ADAPTIVE,256,3,1,35.5822,4.107147e-05,0.0358,0.9139,831,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,DROP,256,6,0,26.8580,3.061659e-04,0.0012,0.8405,1245,0.9333,1.0000,0.8750,1.9841,-1.0000
