record,method,buffer_size,overload,retained,CR,snr_db,f1,f1_baseline
106,SDT,128,5,2118,4.721,29.2864,0.9688,0.9688
106,FIFO,128,5,2127,4.701,15.0746,0.9688,0.9688
106,IE,128,10,1127,8.873,25.5097,0.9688,0.9688
106,SDT,128,10,1128,8.865,25.0906,0.9688,0.9688
106,FIFO,128,10,1127,8.873,6.8451,0.9688,0.9688
106,IE,128,20,627,15.949,19.2406,0.9688,0.9688
106,SDT,128,20,628,15.924,19.3584,0.9688,0.9688
106,FIFO,128,20,627,15.949,2.5584,0.7547,0.9688
106,IE,128,50,327,30.581,10.8085,0.9688,0.9688
106,SDT,128,50,328,30.488,10.9857,0.9846,0.9688
106,FIFO,128,50,327,30.581,-0.4808,0.4615,0.9688
106,IE,256,5,2255,4.435,30.4213,0.9688,0.9688
106,SDT,256,5,2347,4.261,29.869,0.9688,0.9688
106,FIFO,256,5,2255,4.435,15.4978,0.9688,0.9688
106,IE,256,10,1255,7.968,25.8694,0.9688,0.9688
106,SDT,256,10,1257,7.955,25.7582,0.9688,0.9688
106,FIFO,256,10,1255,7.968,7.3912,0.9688,0.9688
106,IE,256,20,755,13.245,20.3652,0.9688,0.9688
106,SDT,256,20,755,13.245,21.5007,0.9688,0.9688
106,FIFO,256,20,755,13.245,2.1745,0.4681,0.9688
106,IE,256,50,455,21.978,13.8984,0.9688,0.9688
106,SDT,256,50,454,22.026,15.3373,0.9688,0.9688
106,FIFO,256,50,455,21.978,0.8583,0.2807,0.9688
106,IE,512,5,2511,3.982,30.9902,0.9688,0.9688
106,SDT,512,5,2492,4.013,30.2999,0.9688,0.9688
106,FIFO,512,5,2511,3.982,15.5113,0.9688,0.9688
106,IE,512,10,1511,6.618,26.8268,0.9688,0.9688
106,SDT,512,10,1515,6.601,26.9789,0.9688,0.9688
106,FIFO,512,10,1511,6.618,7.2816,0.9688,0.9688
106,IE,512,20,1011,9.891,23.2074,0.9688,0.9688
106,SDT,512,20,1012,9.881,24.1396,0.9688,0.9688
106,FIFO,512,20,1011,9.891,2.88,0.7059,0.9688
106,IE,512,50,711,14.065,17.6987,0.9688,0.9688
106,SDT,512,50,711,14.065,20.8569,0.9688,0.9688
106,FIFO,512,50,711,14.065,1.013,0.3934,0.9688
109,IE,32,5,2031,4.924,34.0509,0.9888,0.9888
109,SDT,32,5,2128,4.699,33.9245,0.9888,0.9888
109,FIFO,32,5,2031,4.924,26.8022,0.9888,0.9888
109,IE,32,10,1031,9.699,28.7453,0.9888,0.9888
109,SDT,32,10,1023,9.775,28.2029,0.9888,0.9888
109,FIFO,32,10,1031,9.699,18.9561,0.9888,0.9888
109,IE,32,20,531,18.832,20.7367,0.9888,0.9888
109,SDT,32,20,529,18.904,19.394,0.9888,0.9888
109,FIFO,32,20,531,18.832,9.7401,0.9655,0.9888
109,IE,32,50,231,43.29,6.7979,0.8889,0.9888
109,SDT,32,50,233,42.918,11.8323,0.9888,0.9888
109,FIFO,32,50,231,43.29,2.9259,0.7105,0.9888
109,IE,64,5,2063,4.847,34.3327,0.9888,0.9888
109,SDT,64,5,2128,4.699,33.9245,0.9888,0.9888
