signal,mode,buffer_size,consumer_delay_us,producer_delay_us,noise_std,trial,drops,max_wait_ms,mse,snr_db,max_error,deriv_ratio,rpeak_accuracy
sine_1hz,IMP_INTERP_COMPOSITE,64,200,100,0.0100,3,305,0.0116,3.333003e-06,51.7614,7.746093e-03,0.9772,-1.0000
sine_1hz,RDP_OFFLINE,64,200,100,0.0100,3,311,0.0000,2.573990e-06,52.8836,5.703089e-03,0.9797,-1.0000
sine_1hz,LTTB_OFFLINE,64,200,100,0.0100,3,311,0.0000,2.287687e-05,43.3957,3.188740e-02,0.8726,-1.0000
chirp,DROP,64,200,100,0.0100,3,311,0.0016,4.400773e-05,40.3656,4.357429e-02,0.9385,-1.0000
chirp,WAIT,64,200,100,0.0100,3,0,0.2610,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
chirp,TIMED,64,200,100,0.0100,3,0,0.4833,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
chirp,ADAPTIVE,64,200,100,0.0100,3,208,0.1723,2.681454e-05,42.5171,3.292958e-02,0.9631,-1.0000
chirp,LEGACY_IMPORTANCE,64,200,100,0.0100,3,308,0.0022,8.277158e-05,37.6220,4.436525e-02,0.9499,-1.0000
chirp,RANDOM_DROP,64,200,100,0.0100,3,310,0.0081,4.613969e-05,40.1601,3.385841e-02,0.9527,-1.0000
chirp,DROP_MIDDLE,64,200,100,0.0100,3,314,0.0022,3.872923e-05,40.9205,3.629341e-02,0.9505,-1.0000
chirp,DROP_LOW_VARIANCE,64,200,100,0.0100,3,312,0.0029,2.071467e-03,23.6381,1.900643e-01,0.8544,-1.0000
chirp,IMP_FIRST_ORDER,64,200,100,0.0100,3,308,0.0031,8.368914e-05,37.5742,4.436525e-02,0.9492,-1.0000
chirp,IMP_SECOND_ORDER,64,200,100,0.0100,3,310,0.0084,4.247274e-05,40.5197,4.198936e-02,0.9388,-1.0000
chirp,IMP_WINDOWED_ENERGY,64,200,100,0.0100,3,312,0.0083,1.749357e-04,34.3721,8.410273e-02,0.9382,-1.0000
chirp,IMP_COMPOSITE,64,200,100,0.0100,3,311,0.0104,7.421668e-05,38.0958,5.440915e-02,0.9495,-1.0000
chirp,IMP_ADAPTIVE,64,200,100,0.0100,3,310,0.0083,4.605593e-05,40.1680,4.198936e-02,0.9442,-1.0000
chirp,IMP_INTERP_ERROR,64,200,100,0.0100,3,303,0.0025,3.206191e-06,51.7410,7.644290e-03,0.9965,-1.0000
chirp,IMP_INTERP_COMPOSITE,64,200,100,0.0100,3,311,0.0025,3.518872e-06,51.3368,7.919134e-03,0.9961,-1.0000
chirp,RDP_OFFLINE,64,200,100,0.0100,3,303,0.0000,2.236168e-06,53.3058,5.315606e-03,0.9971,-1.0000
chirp,LTTB_OFFLINE,64,200,100,0.0100,3,303,0.0000,2.238349e-05,43.3016,3.134351e-02,0.9727,-1.0000
spikes,DROP,64,200,100,0.0100,3,311,0.0013,8.127676e-03,3.9409,2.008452e+00,0.7587,-1.0000
spikes,WAIT,64,200,100,0.0100,3,0,0.1564,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
spikes,TIMED,64,200,100,0.0100,3,0,0.2894,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
spikes,ADAPTIVE,64,200,100,0.0100,3,222,0.1271,7.153294e-03,4.4956,2.020747e+00,0.7861,-1.0000
spikes,LEGACY_IMPORTANCE,64,200,100,0.0100,3,314,0.0024,1.016540e-03,12.9694,9.968892e-01,0.9649,-1.0000
spikes,RANDOM_DROP,64,200,100,0.0100,3,311,0.0083,5.558798e-03,5.5908,1.345912e+00,0.8959,-1.0000
spikes,DROP_MIDDLE,64,200,100,0.0100,3,310,0.0023,1.322697e-02,1.8260,2.020747e+00,0.4809,-1.0000
