signal,condition,load,mode,buffer_size,overload,retained,CR,snr_db,snr_saturated,pnr_orig_db,pnr_db,pnr_loss,amp_error_pct,diagnosable
IR007_1,inner_race,1,IE_ORACLE,128,20,727,16.5062,-4.3668,0,33.665,28.609,5.056,32.842,1
IR007_1,inner_race,1,LTTB,128,20,727,16.5062,-3.7324,0,33.665,20.693,12.972,89.229,1
IR007_1,inner_race,1,SDT,128,20,728,16.4835,-0.9675,0,33.665,26.654,7.011,54.705,1
IR007_1,inner_race,1,SDT_BOUNDED,128,20,722,16.6205,-1.1102,0,33.665,26.259,7.406,55.019,1
IR007_1,inner_race,1,IE,128,50,367,32.6975,-6.8309,0,33.665,23.712,9.953,65.681,1
IR007_1,inner_race,1,VW,128,50,367,32.6975,-3.1036,0,33.665,13.637,20.028,96.87,1
IR007_1,inner_race,1,DROP,128,50,367,32.6975,-2.437,0,33.665,12.339,21.326,99.935,1
IR007_1,inner_race,1,IE_ORACLE,128,50,367,32.6975,-6.724,0,33.665,25.951,7.714,58.776,1
IR007_1,inner_race,1,LTTB,128,50,367,32.6975,-5.5664,0,33.665,16.004,17.661,95.12,1
IR007_1,inner_race,1,SDT,128,50,367,32.6975,-2.1327,0,33.665,18.422,15.243,81.031,1
IR007_1,inner_race,1,SDT_BOUNDED,128,50,367,32.6975,-2.1327,0,33.665,18.422,15.243,81.031,1
IR007_1,inner_race,1,IE,256,5,2655,4.5198,2.8636,0,33.665,31.654,2.011,14.836,1
IR007_1,inner_race,1,VW,256,5,2655,4.5198,2.107,0,33.665,29.175,4.49,18.122,1
IR007_1,inner_race,1,DROP,256,5,2655,4.5198,-1.2517,0,33.665,20.166,13.499,94.175,1
IR007_1,inner_race,1,IE_ORACLE,256,5,2655,4.5198,3.3922,0,33.665,32.22,1.445,15.123,1
IR007_1,inner_race,1,LTTB,256,5,2655,4.5198,-0.3807,0,33.665,27.743,5.922,65.859,1
IR007_1,inner_race,1,SDT,256,5,2654,4.5215,3.6478,0,33.665,33.106,0.559,13.644,1
IR007_1,inner_race,1,SDT_BOUNDED,256,5,2644,4.5386,3.5448,0,33.665,32.651,1.014,13.218,1
IR007_1,inner_race,1,IE,256,10,1455,8.2474,-0.8233,0,33.665,31.397,2.268,9.955,1
IR007_1,inner_race,1,VW,256,10,1455,8.2474,-0.9069,0,33.665,23.011,10.654,65.167,1
IR007_1,inner_race,1,DROP,256,10,1455,8.2474,-2.2657,0,33.665,22.149,11.516,98.501,1
IR007_1,inner_race,1,IE_ORACLE,256,10,1455,8.2474,-0.6636,0,33.665,31.725,1.94,1.149,1
IR007_1,inner_race,1,LTTB,256,10,1455,8.2474,-2.1413,0,33.665,21.851,11.814,86.274,1
IR007_1,inner_race,1,SDT,256,10,1455,8.2474,0.7203,0,33.665,29.614,4.051,24.69,1
IR007_1,inner_race,1,SDT_BOUNDED,256,10,1447,8.293,0.6773,0,33.665,29.728,3.937,25.081,1
IR007_1,inner_race,1,IE,256,20,855,14.0351,-3.6606,0,33.665,28.531,5.134,38.365,1
IR007_1,inner_race,1,VW,256,20,855,14.0351,-2.16,0,33.665,18.239,15.426,90.002,1
IR007_1,inner_race,1,DROP,256,20,855,14.0351,-2.1541,0,33.665,17.924,15.741,99.544,1
IR007_1,inner_race,1,IE_ORACLE,256,20,855,14.0351,-3.5394,0,33.665,29.466,4.199,26.867,1
IR007_1,inner_race,1,LTTB,256,20,855,14.0351,-3.2339,0,33.665,21.027,12.638,89.65,1
IR007_1,inner_race,1,SDT,256,20,856,14.0187,-0.5566,0,33.665,26.831,6.834,45.97,1
IR007_1,inner_race,1,SDT_BOUNDED,256,20,852,14.0845,-0.5909,0,33.665,26.944,6.721,46.12,1
IR007_1,inner_race,1,IE,256,50,495,24.2424,-6.0375,0,33.665,23.158,10.507,59.292,1
IR007_1,inner_race,1,VW,256,50,495,24.2424,-2.8105,0,33.665,14.51,19.155,94.573,1
IR007_1,inner_race,1,DROP,256,50,495,24.2424,-2.0817,0,33.665,12.244,21.421,99.937,1
IR007_1,inner_race,1,IE_ORACLE,256,50,495,24.2424,-6.3151,0,33.665,26.228,7.437,49.66,1
IR007_1,inner_race,1,LTTB,256,50,495,24.2424,-4.8265,0,33.665,18.074,15.591,93.455,1
IR007_1,inner_race,1,SDT,256,50,494,24.2915,-1.6969,0,33.665,21.681,11.984,71.817,1
IR007_1,inner_race,1,SDT_BOUNDED,256,50,494,24.2915,-1.6969,0,33.665,21.681,11.984,71.817,1
IR007_1,inner_race,1,IE,512,5,2911,4.1223,3.3848,0,33.665,31.756,1.909,15.342,1
IR007_1,inner_race,1,VW,512,5,2911,4.1223,2.5605,0,33.665,30.085,3.58,13.159,1
IR007_1,inner_race,1,DROP,512,5,2911,4.1223,-1.1459,0,33.665,21.158,12.507,94.129,1
IR007_1,inner_race,1,IE_ORACLE,512,5,2911,4.1223,4.1838,0,33.665,32.355,1.31,14.515,1
IR007_1,inner_race,1,LTTB,512,5,2911,4.1223,-0.0592,0,33.665,29.4,4.265,64.408,1
IR007_1,inner_race,1,SDT,512,5,2910,4.1237,4.206,0,33.665,33.493,0.172,16.844,1
IR007_1,inner_race,1,SDT_BOUNDED,512,5,2906,4.1294,4.1266,0,33.665,33.563,0.102,16.849,1
IR007_1,inner_race,1,IE,512,10,1711,7.0134,-0.4032,0,33.665,31.669,1.996,3.504,1
IR007_1,inner_race,1,VW,512,10,1711,7.0134,-0.4836,0,33.665,23.855,9.81,59.262,1
IR007_1,inner_race,1,DROP,512,10,1711,7.0134,-2.0723,0,33.665,20.162,13.503,98.505,1
IR007_1,inner_race,1,IE_ORACLE,512,10,1711,7.0134,0.5759,0,33.665,32.867,0.798,6.025,1
IR007_1,inner_race,1,LTTB,512,10,1711,7.0134,-1.9449,0,33.665,22.184,11.481,81.938,1
IR007_1,inner_race,1,SDT,512,10,1709,7.0217,1.3315,0,33.665,31.088,2.577,14.593,1
IR007_1,inner_race,1,SDT_BOUNDED,512,10,1707,7.0299,1.2997,0,33.665,31.109,2.556,15.211,1
IR007_1,inner_race,1,IE,512,20,1111,10.8011,-2.5582,0,33.665,29.804,3.861,25.976,1
IR007_1,inner_race,1,VW,512,20,1111,10.8011,-1.649,0,33.665,19.309,14.356,81.462,1
IR007_1,inner_race,1,DROP,512,20,1111,10.8011,-2.0448,0,33.665,17.238,16.427,99.569,1
IR007_1,inner_race,1,IE_ORACLE,512,20,1111,10.8011,-2.2637,0,33.665,31.634,2.031,16.072,1
IR007_1,inner_race,1,LTTB,512,20,1111,10.8011,-2.7436,0,33.665,21.523,12.142,87.795,1
IR007_1,inner_race,1,SDT,512,20,1111,10.8011,-0.1897,0,33.665,27.202,6.463,36.778,1
IR007_1,inner_race,1,SDT_BOUNDED,512,20,1111,10.8011,-0.1897,0,33.665,27.202,6.463,36.778,1
IR007_1,inner_race,1,IE,512,50,751,15.9787,-3.9576,0,33.665,26.6,7.065,40.217,1
IR007_1,inner_race,1,VW,512,50,751,15.9787,-2.4737,0,33.665,16.606,17.059,89.751,1
IR007_1,inner_race,1,DROP,512,50,751,15.9787,-1.9318,0,33.665,6.125,27.54,99.927,0
IR007_1,inner_race,1,IE_ORACLE,512,50,751,15.9787,-3.8538,0,33.665,28.879,4.786,31.397,1
IR007_1,inner_race,1,LTTB,512,50,751,15.9787,-3.694,0,33.665,19.84,13.825,90.51,1
IR007_1,inner_race,1,SDT,512,50,751,15.9787,-0.7752,0,33.665,25.939,7.726,53.808,1
IR007_1,inner_race,1,SDT_BOUNDED,512,50,751,15.9787,-0.7752,0,33.665,25.939,7.726,53.808,1
IR007_2,inner_race,2,IE,128,5,2527,4.7487,3.0112,0,33.82,32.568,1.252,12.953,1
IR007_2,inner_race,2,VW,128,5,2527,4.7487,2.034,0,33.82,30.634,3.186,15.624,1
IR007_2,inner_race,2,DROP,128,5,2527,4.7487,-1.2528,0,33.82,22.809,11.011,92.907,1
IR007_2,inner_race,2,IE_ORACLE,128,5,2527,4.7487,3.1231,0,33.82,32.661,1.159,15.369,1
IR007_2,inner_race,2,LTTB,128,5,2527,4.7487,-0.6191,0,33.82,26.143,7.677,70.808,1
IR007_2,inner_race,2,SDT,128,5,2527,4.7487,3.3984,0,33.82,34.029,-0.209,13.349,1
IR007_2,inner_race,2,SDT_BOUNDED,128,5,2506,4.7885,3.0994,0,33.82,33.801,0.019,12.868,1
IR007_2,inner_race,2,IE,128,10,1327,9.043,-1.1204,0,33.82,30.883,2.937,9.479,1
IR007_2,inner_race,2,VW,128,10,1327,9.043,-1.2689,0,33.82,22.824,10.996,66.988,1
IR007_2,inner_race,2,DROP,128,10,1327,9.043,-2.1916,0,33.82,21.658,12.162,98.759,1
IR007_2,inner_race,2,IE_ORACLE,128,10,1327,9.043,-1.3092,0,33.82,31.829,1.991,2.658,1
IR007_2,inner_race,2,LTTB,128,10,1327,9.043,-2.3087,0,33.82,20.636,13.184,87.586,1
