signal,condition,load,diameter,mode,buffer_size,overload,retained,CR,f_nominal,f_orig,f_recon,freq_error_hz,amp_error_pct,pnr_db,pnr_orig_db,diagnosable
IR007_1,inner_race,1,0.007,IE,128,50,367,32.698,159.929,160.0,160.0,0.0,65.681,23.712,33.665,1
IR007_1,inner_race,1,0.007,VW,128,50,367,32.698,159.929,160.0,159.0,1.0,96.87,13.637,33.665,1
IR007_1,inner_race,1,0.007,DROP,128,50,367,32.698,159.929,160.0,160.0,0.0,99.935,12.339,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,128,50,367,32.698,159.929,160.0,160.0,0.0,58.776,25.951,33.665,1
IR007_1,inner_race,1,0.007,LTTB,128,50,367,32.698,159.929,160.0,160.0,0.0,95.12,16.004,33.665,1
IR007_1,inner_race,1,0.007,SDT,128,50,367,32.698,159.929,160.0,160.0,0.0,81.031,18.422,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,128,50,367,32.698,159.929,160.0,160.0,0.0,81.031,18.422,33.665,1
IR007_1,inner_race,1,0.007,IE,256,5,2655,4.52,159.929,160.0,160.0,0.0,14.836,31.654,33.665,1
IR007_1,inner_race,1,0.007,VW,256,5,2655,4.52,159.929,160.0,160.0,0.0,18.122,29.175,33.665,1
IR007_1,inner_race,1,0.007,DROP,256,5,2655,4.52,159.929,160.0,159.0,1.0,94.175,20.166,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,256,5,2655,4.52,159.929,160.0,160.0,0.0,15.123,32.22,33.665,1
IR007_1,inner_race,1,0.007,LTTB,256,5,2655,4.52,159.929,160.0,160.0,0.0,65.859,27.743,33.665,1
IR007_1,inner_race,1,0.007,SDT,256,5,2654,4.521,159.929,160.0,160.0,0.0,13.644,33.106,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,256,5,2644,4.539,159.929,160.0,160.0,0.0,13.218,32.651,33.665,1
IR007_1,inner_race,1,0.007,IE,256,10,1455,8.247,159.929,160.0,160.0,0.0,9.955,31.397,33.665,1
IR007_1,inner_race,1,0.007,VW,256,10,1455,8.247,159.929,160.0,160.0,0.0,65.167,23.011,33.665,1
IR007_1,inner_race,1,0.007,DROP,256,10,1455,8.247,159.929,160.0,160.0,0.0,98.501,22.149,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,256,10,1455,8.247,159.929,160.0,160.0,0.0,1.149,31.725,33.665,1
IR007_1,inner_race,1,0.007,LTTB,256,10,1455,8.247,159.929,160.0,159.0,1.0,86.274,21.851,33.665,1
IR007_1,inner_race,1,0.007,SDT,256,10,1455,8.247,159.929,160.0,160.0,0.0,24.69,29.614,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,256,10,1447,8.293,159.929,160.0,160.0,0.0,25.081,29.728,33.665,1
IR007_1,inner_race,1,0.007,IE,256,20,855,14.035,159.929,160.0,160.0,0.0,38.365,28.531,33.665,1
IR007_1,inner_race,1,0.007,VW,256,20,855,14.035,159.929,160.0,159.0,1.0,90.002,18.239,33.665,1
IR007_1,inner_race,1,0.007,DROP,256,20,855,14.035,159.929,160.0,160.0,0.0,99.544,17.924,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,256,20,855,14.035,159.929,160.0,160.0,0.0,26.867,29.466,33.665,1
IR007_1,inner_race,1,0.007,LTTB,256,20,855,14.035,159.929,160.0,160.0,0.0,89.65,21.027,33.665,1
IR007_1,inner_race,1,0.007,SDT,256,20,856,14.019,159.929,160.0,160.0,0.0,45.97,26.831,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,256,20,852,14.085,159.929,160.0,160.0,0.0,46.12,26.944,33.665,1
IR007_1,inner_race,1,0.007,IE,256,50,495,24.242,159.929,160.0,160.0,0.0,59.292,23.158,33.665,1
IR007_1,inner_race,1,0.007,VW,256,50,495,24.242,159.929,160.0,160.0,0.0,94.573,14.51,33.665,1
IR007_1,inner_race,1,0.007,DROP,256,50,495,24.242,159.929,160.0,160.0,0.0,99.937,12.244,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,256,50,495,24.242,159.929,160.0,160.0,0.0,49.66,26.228,33.665,1
IR007_1,inner_race,1,0.007,LTTB,256,50,495,24.242,159.929,160.0,160.0,0.0,93.455,18.074,33.665,1
IR007_1,inner_race,1,0.007,SDT,256,50,494,24.291,159.929,160.0,160.0,0.0,71.817,21.681,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,256,50,494,24.291,159.929,160.0,160.0,0.0,71.817,21.681,33.665,1
IR007_1,inner_race,1,0.007,IE,512,5,2911,4.122,159.929,160.0,160.0,0.0,15.342,31.756,33.665,1
IR007_1,inner_race,1,0.007,VW,512,5,2911,4.122,159.929,160.0,160.0,0.0,13.159,30.085,33.665,1
IR007_1,inner_race,1,0.007,DROP,512,5,2911,4.122,159.929,160.0,160.0,0.0,94.129,21.158,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,512,5,2911,4.122,159.929,160.0,160.0,0.0,14.515,32.355,33.665,1
IR007_1,inner_race,1,0.007,LTTB,512,5,2911,4.122,159.929,160.0,160.0,0.0,64.408,29.4,33.665,1
IR007_1,inner_race,1,0.007,SDT,512,5,2910,4.124,159.929,160.0,160.0,0.0,16.844,33.493,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,512,5,2906,4.129,159.929,160.0,160.0,0.0,16.849,33.563,33.665,1
IR007_1,inner_race,1,0.007,IE,512,10,1711,7.013,159.929,160.0,160.0,0.0,3.504,31.669,33.665,1
IR007_1,inner_race,1,0.007,VW,512,10,1711,7.013,159.929,160.0,160.0,0.0,59.262,23.855,33.665,1
IR007_1,inner_race,1,0.007,DROP,512,10,1711,7.013,159.929,160.0,160.0,0.0,98.505,20.162,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,512,10,1711,7.013,159.929,160.0,160.0,0.0,6.025,32.867,33.665,1
IR007_1,inner_race,1,0.007,LTTB,512,10,1711,7.013,159.929,160.0,160.0,0.0,81.938,22.184,33.665,1
IR007_1,inner_race,1,0.007,SDT,512,10,1709,7.022,159.929,160.0,160.0,0.0,14.593,31.088,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,512,10,1707,7.03,159.929,160.0,160.0,0.0,15.211,31.109,33.665,1
IR007_1,inner_race,1,0.007,IE,512,20,1111,10.801,159.929,160.0,160.0,0.0,25.976,29.804,33.665,1
IR007_1,inner_race,1,0.007,VW,512,20,1111,10.801,159.929,160.0,159.0,1.0,81.462,19.309,33.665,1
IR007_1,inner_race,1,0.007,DROP,512,20,1111,10.801,159.929,160.0,160.0,0.0,99.569,17.238,33.665,1
IR007_1,inner_race,1,0.007,IE_ORACLE,512,20,1111,10.801,159.929,160.0,160.0,0.0,16.072,31.634,33.665,1
IR007_1,inner_race,1,0.007,LTTB,512,20,1111,10.801,159.929,160.0,159.0,1.0,87.795,21.523,33.665,1
IR007_1,inner_race,1,0.007,SDT,512,20,1111,10.801,159.929,160.0,160.0,0.0,36.778,27.202,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,512,20,1111,10.801,159.929,160.0,160.0,0.0,36.778,27.202,33.665,1
IR007_1,inner_race,1,0.007,IE,512,50,751,15.979,159.929,160.0,160.0,0.0,40.217,26.6,33.665,1
IR007_1,inner_race,1,0.007,VW,512,50,751,15.979,159.929,160.0,159.0,1.0,89.751,16.606,33.665,1
IR007_1,inner_race,1,0.007,DROP,512,50,751,15.979,159.929,160.0,164.0,4.0,99.927,6.125,33.665,0
IR007_1,inner_race,1,0.007,IE_ORACLE,512,50,751,15.979,159.929,160.0,160.0,0.0,31.397,28.879,33.665,1
IR007_1,inner_race,1,0.007,LTTB,512,50,751,15.979,159.929,160.0,160.0,0.0,90.51,19.84,33.665,1
IR007_1,inner_race,1,0.007,SDT,512,50,751,15.979,159.929,160.0,160.0,0.0,53.808,25.939,33.665,1
IR007_1,inner_race,1,0.007,SDT_BOUNDED,512,50,751,15.979,159.929,160.0,160.0,0.0,53.808,25.939,33.665,1
IR007_2,inner_race,2,0.007,IE,128,5,2527,4.749,157.763,157.0,157.0,0.0,12.953,32.568,33.82,1
IR007_2,inner_race,2,0.007,VW,128,5,2527,4.749,157.763,157.0,157.0,0.0,15.624,30.634,33.82,1
IR007_2,inner_race,2,0.007,DROP,128,5,2527,4.749,157.763,157.0,157.0,0.0,92.907,22.809,33.82,1
IR007_2,inner_race,2,0.007,IE_ORACLE,128,5,2527,4.749,157.763,157.0,157.0,0.0,15.369,32.661,33.82,1
IR007_2,inner_race,2,0.007,LTTB,128,5,2527,4.749,157.763,157.0,157.0,0.0,70.808,26.143,33.82,1
IR007_2,inner_race,2,0.007,SDT,128,5,2527,4.749,157.763,157.0,157.0,0.0,13.349,34.029,33.82,1
IR007_2,inner_race,2,0.007,SDT_BOUNDED,128,5,2506,4.789,157.763,157.0,157.0,0.0,12.868,33.801,33.82,1
IR007_2,inner_race,2,0.007,IE,128,10,1327,9.043,157.763,157.0,157.0,0.0,9.479,30.883,33.82,1
IR007_2,inner_race,2,0.007,VW,128,10,1327,9.043,157.763,157.0,157.0,0.0,66.988,22.824,33.82,1
IR007_2,inner_race,2,0.007,DROP,128,10,1327,9.043,157.763,157.0,157.0,0.0,98.759,21.658,33.82,1
IR007_2,inner_race,2,0.007,IE_ORACLE,128,10,1327,9.043,157.763,157.0,157.0,0.0,2.658,31.829,33.82,1
IR007_2,inner_race,2,0.007,LTTB,128,10,1327,9.043,157.763,157.0,157.0,0.0,87.586,20.636,33.82,1
IR007_2,inner_race,2,0.007,SDT,128,10,1328,9.036,157.763,157.0,157.0,0.0,24.734,29.666,33.82,1
IR007_2,inner_race,2,0.007,SDT_BOUNDED,128,10,1317,9.112,157.763,157.0,157.0,0.0,24.775,29.563,33.82,1
IR007_2,inner_race,2,0.007,IE,128,20,727,16.506,157.763,157.0,157.0,0.0,37.113,28.477,33.82,1
IR007_2,inner_race,2,0.007,VW,128,20,727,16.506,157.763,157.0,157.0,0.0,90.57,17.772,33.82,1
IR007_2,inner_race,2,0.007,DROP,128,20,727,16.506,157.763,157.0,157.0,0.0,99.517,18.581,33.82,1
IR007_2,inner_race,2,0.007,IE_ORACLE,128,20,727,16.506,157.763,157.0,157.0,0.0,29.032,30.882,33.82,1
IR007_2,inner_race,2,0.007,LTTB,128,20,727,16.506,157.763,157.0,157.0,0.0,90.963,20.323,33.82,1
IR007_2,inner_race,2,0.007,SDT,128,20,728,16.484,157.763,157.0,157.0,0.0,50.567,27.239,33.82,1
IR007_2,inner_race,2,0.007,SDT_BOUNDED,128,20,723,16.598,157.763,157.0,157.0,0.0,50.909,27.041,33.82,1
IR007_2,inner_race,2,0.007,IE,128,50,367,32.698,157.763,157.0,157.0,0.0,67.41,22.927,33.82,1
IR007_2,inner_race,2,0.007,VW,128,50,367,32.698,157.763,157.0,157.0,0.0,97.812,12.614,33.82,1
IR007_2,inner_race,2,0.007,DROP,128,50,367,32.698,157.763,157.0,157.0,0.0,99.947,12.043,33.82,1
IR007_2,inner_race,2,0.007,IE_ORACLE,128,50,367,32.698,157.763,157.0,157.0,0.0,56.141,24.56,33.82,1
IR007_2,inner_race,2,0.007,LTTB,128,50,367,32.698,157.763,157.0,157.0,0.0,95.212,18.849,33.82,1
IR007_2,inner_race,2,0.007,SDT,128,50,367,32.698,157.763,157.0,157.0,0.0,77.286,20.789,33.82,1
IR007_2,inner_race,2,0.007,SDT_BOUNDED,128,50,364,32.967,157.763,157.0,157.0,0.0,77.891,20.379,33.82,1
IR007_2,inner_race,2,0.007,IE,256,5,2655,4.52,157.763,157.0,157.0,0.0,13.217,33.328,33.82,1
IR007_2,inner_race,2,0.007,VW,256,5,2655,4.52,157.763,157.0,157.0,0.0,14.604,30.733,33.82,1
IR007_2,inner_race,2,0.007,DROP,256,5,2655,4.52,157.763,157.0,157.0,0.0,93.299,22.316,33.82,1
IR007_2,inner_race,2,0.007,IE_ORACLE,256,5,2655,4.52,157.763,157.0,157.0,0.0,15.796,32.547,33.82,1
IR007_2,inner_race,2,0.007,LTTB,256,5,2655,4.52,157.763,157.0,157.0,0.0,67.8,26.447,33.82,1
IR007_2,inner_race,2,0.007,SDT,256,5,2656,4.518,157.763,157.0,157.0,0.0,14.085,33.626,33.82,1
IR007_2,inner_race,2,0.007,SDT_BOUNDED,256,5,2635,4.554,157.763,157.0,157.0,0.0,13.967,33.778,33.82,1
IR007_2,inner_race,2,0.007,IE,256,10,1455,8.247,157.763,157.0,157.0,0.0,8.781,31.273,33.82,1
