signal,domain,buffer_size,overload,method,policy,epsilon,emitted,delivered,max_occupancy,occupancy_ratio,overflow_events,dropped,stalled,max_dev,eps_violation_ratio,snr_db
ecg_105,ecg,64,2,SDT,unbounded,5.000000e-03,2061,2061,79,1.2344,0,0,0,0.000000e+00,0.0000,42.824516
ecg_105,ecg,64,2,SDT,fifo_drop,5.000000e-03,2061,2046,64,1.0000,15,15,0,0.000000e+00,0.0000,42.055381
ecg_105,ecg,64,2,SDT,stall,5.000000e-03,2046,2046,64,1.0000,19,0,19,3.000000e-02,6.0000,42.094251
ecg_105,ecg,64,5,PROPOSED,none,0.000000e+00,863,863,64,1.0000,0,0,0,0.000000e+00,0.0000,32.503880
ecg_105,ecg,64,5,SDT,unbounded,1.375000e-02,851,851,66,1.0312,0,0,0,0.000000e+00,0.0000,31.772666
ecg_105,ecg,64,5,SDT,fifo_drop,1.375000e-02,851,849,64,1.0000,2,2,0,0.000000e+00,0.0000,31.433436
ecg_105,ecg,64,5,SDT,stall,1.375000e-02,849,849,64,1.0000,6,0,6,4.750000e-02,3.4545,31.639455
ecg_105,ecg,64,10,PROPOSED,none,0.000000e+00,463,463,64,1.0000,0,0,0,0.000000e+00,0.0000,28.315681
ecg_105,ecg,64,10,SDT,unbounded,2.000000e-02,463,463,75,1.1719,0,0,0,0.000000e+00,0.0000,28.978313
ecg_105,ecg,64,10,SDT,fifo_drop,2.000000e-02,463,452,64,1.0000,11,11,0,0.000000e+00,0.0000,24.366281
ecg_105,ecg,64,10,SDT,stall,2.000000e-02,453,453,64,1.0000,50,0,50,1.600000e-01,8.0000,24.505341
ecg_105,ecg,64,20,PROPOSED,none,0.000000e+00,263,263,64,1.0000,0,0,0,0.000000e+00,0.0000,21.272931
ecg_105,ecg,64,20,SDT,unbounded,3.427885e-02,264,264,69,1.0781,0,0,0,0.000000e+00,0.0000,23.639003
ecg_105,ecg,64,20,SDT,fifo_drop,3.427885e-02,264,259,64,1.0000,5,5,0,0.000000e+00,0.0000,21.705546
ecg_105,ecg,64,20,SDT,stall,3.427885e-02,259,259,64,1.0000,24,0,24,2.254545e-01,6.5771,19.617429
ecg_105,ecg,128,2,PROPOSED,none,0.000000e+00,2127,2127,128,1.0000,0,0,0,0.000000e+00,0.0000,43.667245
ecg_105,ecg,128,2,SDT,unbounded,5.000000e-03,2130,2130,146,1.1406,0,0,0,0.000000e+00,0.0000,43.484756
ecg_105,ecg,128,2,SDT,fifo_drop,5.000000e-03,2130,2112,128,1.0000,18,18,0,0.000000e+00,0.0000,42.027271
ecg_105,ecg,128,2,SDT,stall,5.000000e-03,2112,2112,128,1.0000,25,0,25,3.000000e-02,6.0000,42.482010
ecg_105,ecg,128,5,PROPOSED,none,0.000000e+00,927,927,128,1.0000,0,0,0,0.000000e+00,0.0000,32.817860
ecg_105,ecg,128,5,SDT,unbounded,1.333333e-02,927,927,141,1.1016,0,0,0,0.000000e+00,0.0000,32.214123
ecg_105,ecg,128,5,SDT,fifo_drop,1.333333e-02,927,914,128,1.0000,13,13,0,0.000000e+00,0.0000,31.230464
ecg_105,ecg,128,5,SDT,stall,1.333333e-02,914,914,128,1.0000,37,0,37,6.833333e-02,5.1250,31.397361
ecg_105,ecg,128,10,PROPOSED,none,0.000000e+00,527,527,128,1.0000,0,0,0,0.000000e+00,0.0000,28.697991
ecg_105,ecg,128,10,SDT,unbounded,1.875000e-02,527,527,139,1.0859,0,0,0,0.000000e+00,0.0000,29.572177
ecg_105,ecg,128,10,SDT,fifo_drop,1.875000e-02,527,516,128,1.0000,11,11,0,0.000000e+00,0.0000,25.120192
ecg_105,ecg,128,10,SDT,stall,1.875000e-02,515,515,128,1.0000,56,0,56,1.943750e-01,10.3667,23.384804
ecg_105,ecg,128,20,PROPOSED,none,0.000000e+00,327,327,128,1.0000,0,0,0,0.000000e+00,0.0000,24.086279
ecg_105,ecg,128,20,SDT,unbounded,2.714286e-02,327,327,131,1.0234,0,0,0,0.000000e+00,0.0000,26.354597
ecg_105,ecg,128,20,SDT,fifo_drop,2.714286e-02,327,324,128,1.0000,3,3,0,0.000000e+00,0.0000,23.337783
ecg_105,ecg,128,20,SDT,stall,2.714286e-02,323,323,128,1.0000,15,0,15,7.000000e-02,2.5789,24.704299
ecg_105,ecg,256,2,PROPOSED,none,0.000000e+00,2255,2255,256,1.0000,0,0,0,0.000000e+00,0.0000,44.276959
ecg_105,ecg,256,2,SDT,unbounded,3.750000e-03,2254,2254,263,1.0273,0,0,0,0.000000e+00,0.0000,44.695216
ecg_105,ecg,256,2,SDT,fifo_drop,3.750000e-03,2254,2247,256,1.0000,7,7,0,0.000000e+00,0.0000,44.386885
ecg_105,ecg,256,2,SDT,stall,3.750000e-03,2247,2247,256,1.0000,8,0,8,3.000000e-02,8.0000,43.917974
ecg_105,ecg,256,5,PROPOSED,none,0.000000e+00,1055,1055,256,1.0000,0,0,0,0.000000e+00,0.0000,33.507744
ecg_105,ecg,256,5,SDT,unbounded,1.166667e-02,1066,1066,273,1.0664,0,0,0,0.000000e+00,0.0000,33.129851
ecg_105,ecg,256,5,SDT,fifo_drop,1.166667e-02,1066,1049,256,1.0000,17,17,0,0.000000e+00,0.0000,31.266784
ecg_105,ecg,256,5,SDT,stall,1.166667e-02,1050,1050,256,1.0000,37,0,37,6.833333e-02,5.8571,32.141303
ecg_105,ecg,256,10,PROPOSED,none,0.000000e+00,655,655,256,1.0000,0,0,0,0.000000e+00,0.0000,30.141763
ecg_105,ecg,256,10,SDT,unbounded,1.636364e-02,655,655,261,1.0195,0,0,0,0.000000e+00,0.0000,30.601014
ecg_105,ecg,256,10,SDT,fifo_drop,1.636364e-02,655,650,256,1.0000,5,5,0,0.000000e+00,0.0000,29.065500
ecg_105,ecg,256,10,SDT,stall,1.636364e-02,651,651,256,1.0000,24,0,24,5.285714e-02,3.2302,30.146705
ecg_105,ecg,256,20,PROPOSED,none,0.000000e+00,455,455,256,1.0000,0,0,0,0.000000e+00,0.0000,26.546332
ecg_105,ecg,256,20,SDT,unbounded,2.031915e-02,456,456,257,1.0039,0,0,0,0.000000e+00,0.0000,28.994240
ecg_105,ecg,256,20,SDT,fifo_drop,2.031915e-02,456,455,256,1.0000,1,1,0,0.000000e+00,0.0000,28.841562
ecg_105,ecg,256,20,SDT,stall,2.031915e-02,456,456,256,1.0000,5,0,5,2.450000e-02,1.2058,28.903007
ecg_105,ecg,512,2,PROPOSED,none,0.000000e+00,2511,2511,512,1.0000,0,0,0,0.000000e+00,0.0000,45.824315
ecg_105,ecg,512,2,SDT,unbounded,3.333333e-03,2448,2448,452,0.8828,0,0,0,0.000000e+00,0.0000,46.317259
ecg_105,ecg,512,2,SDT,fifo_drop,3.333333e-03,2448,2448,452,0.8828,0,0,0,0.000000e+00,0.0000,46.317259
ecg_105,ecg,512,2,SDT,stall,3.333333e-03,2448,2448,452,0.8828,0,0,0,0.000000e+00,0.0000,46.317259
ecg_105,ecg,512,5,PROPOSED,none,0.000000e+00,1311,1311,512,1.0000,0,0,0,0.000000e+00,0.0000,35.355339
ecg_105,ecg,512,5,SDT,unbounded,9.000000e-03,1309,1309,510,0.9961,0,0,0,0.000000e+00,0.0000,35.460172
ecg_105,ecg,512,5,SDT,fifo_drop,9.000000e-03,1309,1309,510,0.9961,0,0,0,0.000000e+00,0.0000,35.460172
ecg_105,ecg,512,5,SDT,stall,9.000000e-03,1309,1309,510,0.9961,0,0,0,0.000000e+00,0.0000,35.460172
ecg_105,ecg,512,10,PROPOSED,none,0.000000e+00,911,911,512,1.0000,0,0,0,0.000000e+00,0.0000,32.181909
ecg_105,ecg,512,10,SDT,unbounded,1.333333e-02,915,915,515,1.0059,0,0,0,0.000000e+00,0.0000,32.148424
ecg_105,ecg,512,10,SDT,fifo_drop,1.333333e-02,915,912,512,1.0000,3,3,0,0.000000e+00,0.0000,32.048434
ecg_105,ecg,512,10,SDT,stall,1.333333e-02,912,912,512,1.0000,7,0,7,2.500000e-02,1.8750,32.121656
ecg_105,ecg,512,20,PROPOSED,none,0.000000e+00,711,711,512,1.0000,0,0,0,0.000000e+00,0.0000,30.700276
ecg_105,ecg,512,20,SDT,unbounded,1.541667e-02,711,711,511,0.9980,0,0,0,0.000000e+00,0.0000,30.880296
ecg_105,ecg,512,20,SDT,fifo_drop,1.541667e-02,711,711,511,0.9980,0,0,0,0.000000e+00,0.0000,30.880296
ecg_105,ecg,512,20,SDT,stall,1.541667e-02,711,711,511,0.9980,0,0,0,0.000000e+00,0.0000,30.880296
ecg_106,ecg,64,2,PROPOSED,none,0.000000e+00,2063,2063,64,1.0000,0,0,0,0.000000e+00,0.0000,42.096395
ecg_106,ecg,64,2,SDT,unbounded,6.250000e-03,2063,2063,77,1.2031,0,0,0,0.000000e+00,0.0000,41.736097
ecg_106,ecg,64,2,SDT,fifo_drop,6.250000e-03,2063,2050,64,1.0000,13,13,0,0.000000e+00,0.0000,40.096689
ecg_106,ecg,64,2,SDT,stall,6.250000e-03,2050,2050,64,1.0000,22,0,22,2.375000e-01,38.0000,37.922345
ecg_106,ecg,64,5,PROPOSED,none,0.000000e+00,863,863,64,1.0000,0,0,0,0.000000e+00,0.0000,30.017739
ecg_106,ecg,64,5,SDT,unbounded,2.166667e-02,862,862,72,1.1250,0,0,0,0.000000e+00,0.0000,29.250217
ecg_106,ecg,64,5,SDT,fifo_drop,2.166667e-02,862,854,64,1.0000,8,8,0,0.000000e+00,0.0000,26.539724
ecg_106,ecg,64,5,SDT,stall,2.166667e-02,854,854,64,1.0000,13,0,13,4.340000e-01,20.0308,27.553671
ecg_106,ecg,64,10,PROPOSED,none,0.000000e+00,463,463,64,1.0000,0,0,0,0.000000e+00,0.0000,25.349228
ecg_106,ecg,64,10,SDT,unbounded,3.590909e-02,465,465,79,1.2344,0,0,0,0.000000e+00,0.0000,25.060000
ecg_106,ecg,64,10,SDT,fifo_drop,3.590909e-02,465,450,64,1.0000,15,15,0,0.000000e+00,0.0000,23.128791
ecg_106,ecg,64,10,SDT,stall,3.590909e-02,451,451,64,1.0000,33,0,33,4.285714e-01,11.9349,20.030140
