record,method,buffer_size,overload,retained,CR_decim,f1,precision,recall,f1_baseline
112,IE,64,20,563,17.762,0.9756,0.9756,0.9756,0.9756
112,FIFO,64,20,563,17.762,0.747,0.7381,0.7561,0.9756
112,IE,64,50,263,38.023,0.9877,1.0,0.9756,0.9756
112,FIFO,64,50,263,38.023,0.4198,0.425,0.4146,0.9756
112,IE,128,5,2127,4.701,0.9756,0.9756,0.9756,0.9756
112,FIFO,128,5,2127,4.701,0.9877,1.0,0.9756,0.9756
112,IE,128,10,1127,8.873,0.9756,0.9756,0.9756,0.9756
112,FIFO,128,10,1127,8.873,0.9877,1.0,0.9756,0.9756
112,IE,128,20,627,15.949,0.9877,1.0,0.9756,0.9756
112,FIFO,128,20,627,15.949,0.8193,0.8095,0.8293,0.9756
112,IE,128,50,327,30.581,0.9877,1.0,0.9756,0.9756
112,FIFO,128,50,327,30.581,0.575,0.5897,0.561,0.9756
112,IE,256,5,2255,4.435,0.9877,1.0,0.9756,0.9756
112,FIFO,256,5,2255,4.435,0.9756,0.9756,0.9756,0.9756
112,IE,256,10,1255,7.968,0.9756,0.9756,0.9756,0.9756
112,FIFO,256,10,1255,7.968,0.9877,1.0,0.9756,0.9756
112,IE,256,20,755,13.245,0.9877,1.0,0.9756,0.9756
112,FIFO,256,20,755,13.245,0.7654,0.775,0.7561,0.9756
112,IE,256,50,455,21.978,0.9756,0.9756,0.9756,0.9756
112,FIFO,256,50,455,21.978,0.359,0.3784,0.3415,0.9756
112,IE,512,5,2511,3.982,0.9756,0.9756,0.9756,0.9756
112,FIFO,512,5,2511,3.982,0.9756,0.9756,0.9756,0.9756
112,IE,512,10,1511,6.618,0.9877,1.0,0.9756,0.9756
112,FIFO,512,10,1511,6.618,0.9877,1.0,0.9756,0.9756
112,IE,512,20,1011,9.891,0.9756,0.9756,0.9756,0.9756
112,FIFO,512,20,1011,9.891,0.7895,0.8571,0.7317,0.9756
112,IE,512,50,711,14.065,0.9877,1.0,0.9756,0.9756
112,FIFO,512,50,711,14.065,0.3902,0.3902,0.3902,0.9756
115,IE,32,5,2031,4.924,0.9831,1.0,0.9667,0.9831
115,FIFO,32,5,2031,4.924,0.9831,1.0,0.9667,0.9831
115,IE,32,10,1031,9.699,0.9831,1.0,0.9667,0.9831
115,FIFO,32,10,1031,9.699,0.9831,1.0,0.9667,0.9831
115,IE,32,20,531,18.832,0.9831,1.0,0.9667,0.9831
