alpha,beta,gamma,window_half,signal,trial,snr_db,mse,deriv_ratio,max_error,drops,snr_saturated
0.2,0.1,0.7,2,spikes,2,11.5025,1.611736e-03,0.7739,1.6264e-01,534,0
0.2,0.1,0.7,2,ecg,0,33.3708,6.021688e-11,0.8926,3.0000e-05,529,0
0.2,0.1,0.7,2,ecg,1,33.1580,6.324148e-11,0.8807,3.3750e-05,537,0
0.2,0.1,0.7,2,ecg,2,33.1767,6.296876e-11,0.8847,3.1667e-05,533,0
0.2,0.2,0.6,2,sine,0,24.8034,1.649717e-03,0.7023,1.8241e-01,528,0
0.2,0.2,0.6,2,sine,1,24.8666,1.625884e-03,0.6886,1.6357e-01,540,0
0.2,0.2,0.6,2,sine,2,25.0945,1.542777e-03,0.7011,1.6357e-01,529,0
0.2,0.2,0.6,2,chirp,0,22.4046,2.761485e-03,0.7443,3.3940e-01,536,0
0.2,0.2,0.6,2,chirp,1,24.0293,1.899621e-03,0.7473,2.1830e-01,533,0
0.2,0.2,0.6,2,chirp,2,23.5314,2.130375e-03,0.7503,2.0070e-01,538,0
0.2,0.2,0.6,2,spikes,0,10.8642,1.866916e-03,0.7648,1.9361e-01,531,0
0.2,0.2,0.6,2,spikes,1,11.0319,1.796173e-03,0.7553,1.9097e-01,537,0
0.2,0.2,0.6,2,spikes,2,10.9965,1.810878e-03,0.7617,1.5095e-01,534,0
0.2,0.2,0.6,2,ecg,0,33.4120,5.964818e-11,0.8832,3.3846e-05,529,0
0.2,0.2,0.6,2,ecg,1,33.9591,5.258807e-11,0.8807,3.1667e-05,533,0
0.2,0.2,0.6,2,ecg,2,33.6992,5.583212e-11,0.8792,3.1667e-05,534,0
0.2,0.3,0.5,2,sine,0,24.8419,1.635157e-03,0.6883,1.9373e-01,537,0
0.2,0.3,0.5,2,sine,1,24.5642,1.743125e-03,0.6933,1.9373e-01,534,0
0.2,0.3,0.5,2,sine,2,24.5720,1.739996e-03,0.6952,1.9373e-01,534,0
0.2,0.3,0.5,2,chirp,0,23.7330,2.033775e-03,0.7308,2.1545e-01,531,0
0.2,0.3,0.5,2,chirp,1,23.2733,2.260819e-03,0.7305,2.1545e-01,534,0
0.2,0.3,0.5,2,chirp,2,23.7188,2.040440e-03,0.7248,2.1545e-01,537,0
0.2,0.3,0.5,2,spikes,0,11.4675,1.624774e-03,0.7578,1.7327e-01,534,0
0.2,0.3,0.5,2,spikes,1,11.2337,1.714652e-03,0.7600,2.0428e-01,533,0
0.2,0.3,0.5,2,spikes,2,11.5430,1.596766e-03,0.7547,1.8066e-01,534,0
0.2,0.3,0.5,2,ecg,0,33.8521,5.390037e-11,0.8777,2.8000e-05,534,0
0.2,0.3,0.5,2,ecg,1,33.5071,5.835622e-11,0.8812,2.8333e-05,533,0
0.2,0.3,0.5,2,ecg,2,33.6114,5.697187e-11,0.8797,3.3077e-05,534,0
0.2,0.4,0.4,2,sine,0,25.2265,1.496578e-03,0.6990,1.9373e-01,532,0
0.2,0.4,0.4,2,sine,1,24.5754,1.738634e-03,0.6876,1.9373e-01,531,0
0.2,0.4,0.4,2,sine,2,24.8086,1.647745e-03,0.6887,1.9373e-01,532,0
0.2,0.4,0.4,2,chirp,0,23.8124,1.996899e-03,0.7226,2.1830e-01,534,0
0.2,0.4,0.4,2,chirp,1,23.7685,2.017206e-03,0.7287,2.1830e-01,534,0
