mode,buffer_size,repeat,evictions,avg_us,trial_max_us,wall_clock_ms
IMP_INTERP_ERROR,2048,201,47952,6.1139,176.5210,298.3847
IMP_INTERP_ERROR,2048,202,47952,5.8753,157.9300,286.8583
IMP_INTERP_ERROR,2048,203,47952,5.8441,59.1620,285.1747
IMP_INTERP_ERROR,2048,204,47952,6.0248,94.6800,294.0263
IMP_INTERP_ERROR,2048,205,47952,5.9110,56.1070,288.4643
IMP_INTERP_ERROR,2048,206,47952,5.9270,70.2240,289.3049
IMP_INTERP_ERROR,2048,207,47952,5.9280,66.0500,289.3466
IMP_INTERP_ERROR,2048,208,47952,6.1405,315.1990,299.6726
IMP_INTERP_ERROR,2048,209,47952,5.8326,171.2550,284.6336
IMP_INTERP_ERROR,2048,210,47952,5.9823,127.0860,291.9174
IMP_INTERP_ERROR,2048,211,47952,5.8579,44.2140,285.8397
IMP_INTERP_ERROR,2048,212,47952,5.8657,118.9810,286.2602
IMP_INTERP_ERROR,2048,213,47952,5.9048,132.8400,288.2620
IMP_INTERP_ERROR,2048,214,47952,6.2604,104.0680,305.5250
IMP_INTERP_ERROR,2048,215,47952,5.9051,104.1570,288.2491
IMP_INTERP_ERROR,2048,216,47952,5.8420,72.0070,285.1315
IMP_INTERP_ERROR,2048,217,47952,5.8060,52.5000,283.3695
IMP_INTERP_ERROR,2048,218,47952,5.9030,70.4640,288.0698
IMP_INTERP_ERROR,2048,219,47952,5.7859,62.3590,282.3406
IMP_INTERP_ERROR,2048,220,47952,5.8049,61.0410,283.2829
IMP_INTERP_ERROR,2048,221,47952,5.7938,62.4580,282.7196
IMP_INTERP_ERROR,2048,222,47952,6.1064,131.5000,298.1100
IMP_INTERP_ERROR,2048,223,47952,6.0365,291.8540,294.5480
IMP_INTERP_ERROR,2048,224,47952,5.9813,73.5800,291.9242
IMP_INTERP_ERROR,2048,225,47952,5.8881,71.4860,287.3972
IMP_INTERP_ERROR,2048,226,47952,5.8701,46.2770,286.4170
IMP_INTERP_ERROR,2048,227,47952,5.8047,51.6180,283.2801
