signal,domain,buffer_size,overload,retained,decimation,bits_per_index,bits_per_survivor,CR,bits_per_sample,snr_db,PRD_pct,CR_v3_float32
ecg_106,ecg,64,3,730,2.73972602739726,3.261168384879725,19.261168384879724,2.2758544841323185,7.030326460481099,35.54833,1.6694887620404306,0.91324200913242
ecg_106,ecg,64,4,563,3.552397868561279,3.261168384879725,19.261168384879724,2.950930325784356,5.422018900343643,32.003802,2.5107871656020535,1.1841326228537596
ecg_106,ecg,64,5,463,4.319654427645788,3.423209731176752,19.42320973117675,3.5583444651475387,4.496473052767418,29.899985,3.198900633992313,1.4398848092152627
ecg_106,ecg,64,6,397,5.037783375314861,3.6527698666530437,19.652769866653045,4.1014337699953485,3.90107481853063,28.560517,3.7322794192644726,1.6792611251049538
ecg_106,ecg,64,10,263,7.604562737642586,4.438058143935553,20.438058143935553,5.953256564072579,2.687604645927525,25.432407,5.350318672729825,2.534854245880862
ecg_106,ecg,64,20,163,12.269938650306749,5.204771457820872,21.204771457820872,9.25824731454488,1.728188873812401,21.671529,8.249422559414057,4.08997955010225
ecg_106,ecg,64,30,130,15.384615384615385,5.593155876895067,21.593155876895068,11.399623452782725,1.4035551319981794,18.834604,11.435885542059934,5.128205128205129
ecg_106,ecg,64,50,103,19.41747572815534,5.942266245376491,21.94226624537649,14.158957337232634,1.1300267116368894,14.105766,19.711138068157833,6.472491909385114
ecg_106,ecg,128,2,1127,1.774622892635315,3.261168384879725,19.261168384879724,1.474155965764501,10.853668384879724,42.58484,0.7426052239497767,0.5915409642117717
ecg_106,ecg,128,3,794,2.5188916876574305,3.261168384879725,19.261168384879724,2.092410293975557,7.646683848797251,36.554116,1.4869425866277077,0.8396305625524769
ecg_106,ecg,128,4,627,3.189792663476874,3.261168384879725,19.261168384879724,2.6497189368685685,6.038376288659793,33.29959,2.1628206129268372,1.063264221158958
ecg_106,ecg,128,5,527,3.795066413662239,3.261168384879725,19.261168384879724,3.152511904016304,5.075317869415808,30.947411,2.8354986836141802,1.2650221378874131
ecg_106,ecg,128,6,461,4.3383947939262475,3.4317906302274106,19.43179063022741,3.5722038191807957,4.479027740267418,29.465257,3.3630796258799127,1.4461315979754157
ecg_106,ecg,128,10,327,6.116207951070336,3.9866361749789636,19.986636174978962,4.896237984240407,3.2678150146090603,26.548596,4.705114537442488,2.038735983690112
ecg_106,ecg,128,20,227,8.810572687224669,4.716132881209264,20.716132881209262,6.80480106031092,2.3512810820172514,23.682269,6.544651869205942,2.9368575624082234
ecg_106,ecg,128,30,194,10.309278350515465,4.899383674139066,20.899383674139067,7.89250325177555,2.0272402163914895,20.892218,9.02379249472338,3.4364261168384878
ecg_106,ecg,128,50,167,11.976047904191617,5.163190105537737,21.163190105537737,9.054247753363319,1.767126373812401,18.769547,11.521861488595041,3.992015968063872
ecg_106,ecg,256,2,1255,1.593625498007968,3.261168384879725,19.261168384879724,1.323803803519197,12.086383161512027,44.09934,0.6237822319667421,0.5312084993359893
ecg_106,ecg,256,3,922,2.1691973969631237,3.261168384879725,19.261168384879724,1.8019238323390374,8.879398625429552,38.39347,1.2031686296869228,0.7230657989877078
ecg_106,ecg,256,4,755,2.6490066225165565,3.261168384879725,19.261168384879724,2.200495064127937,7.2710910652920955,35.418855,1.6945611678555486,0.8830022075055187
ecg_106,ecg,256,5,655,3.053435114503817,3.261168384879725,19.261168384879724,2.536448509032965,6.30803264604811,33.077774,2.2187649669729583,1.0178117048346056
ecg_106,ecg,256,6,589,3.395585738539898,3.261168384879725,19.261168384879724,2.820668545698799,5.672414089347079,31.58593,2.634532133200939,1.1318619128466327
ecg_106,ecg,256,10,455,4.395604395604396,3.4579859462304094,19.45798594623041,3.6144373073357716,4.426691802767419,29.198892,3.4678108414087596,1.465201465201465
ecg_106,ecg,256,20,355,5.633802816901408,3.8372897812827493,19.83728978128275,4.544010097360876,3.521118936177688,26.136116,4.933943818651756,1.8779342723004695
ecg_106,ecg,256,30,322,6.211180124223603,4.016038332123016,20.016038332123017,4.96496261341027,3.2225821714718057,25.387756,5.377893530813705,2.070393374741201
ecg_106,ecg,256,50,295,6.779661016949152,4.192032668004265,20.192032668004266,5.372147423427669,2.9783248185306292,24.940026,5.6623759408240035,2.2598870056497176
ecg_106,ecg,512,2,1511,1.3236267372600927,3.261168384879725,19.261168384879724,1.0995193735384463,14.551812714776633,48.870458,0.3601447597494789,0.4412089124200309
ecg_106,ecg,512,3,1178,1.697792869269949,3.261168384879725,19.261168384879724,1.4103342728493995,11.344828178694158,42.466802,0.7527658350094538,0.5659309564233164
ecg_106,ecg,512,4,1011,1.9782393669634026,3.261168384879725,19.261168384879724,1.6432975009066195,9.7365206185567,39.729227,1.0316648882820392,0.6594131223211341
ecg_106,ecg,512,5,911,2.1953896816684964,3.261168384879725,19.261168384879724,1.8236814197767204,8.773462199312714,38.047649,1.25203811492406,0.7317965605561654
ecg_106,ecg,512,6,845,2.366863905325444,3.261168384879725,19.261168384879724,1.9661228087770326,8.137843642611683,37.151736,1.3880758552746815,0.7889546351084813
ecg_106,ecg,512,10,711,2.8129395218002813,3.261168384879725,19.261168384879724,2.336671973862999,6.847345360824741,34.938202,1.7909765521106558,0.9376465072667605
ecg_106,ecg,512,20,611,3.2733224222585924,3.261168384879725,19.261168384879724,2.7191060121384494,5.884286941580755,33.357023,2.148566747266382,1.0911074740861975
ecg_106,ecg,512,30,578,3.4602076124567476,3.261168384879725,19.261168384879724,2.874349088956042,5.56647766323024,32.329821,2.418293173932918,1.1534025374855825
ecg_106,ecg,512,50,551,3.629764065335753,3.261168384879725,19.261168384879724,3.0151974109194057,5.306451890034364,32.393191,2.400714137616365,1.2099213551119177
ecg_108,ecg,64,2,1063,1.881467544684854,3.261168384879725,19.261168384879724,1.5629104171369637,10.237310996563574,41.249464,0.8660177630442365,0.6271558482282847
ecg_108,ecg,64,3,730,2.73972602739726,3.261168384879725,19.261168384879724,2.2758544841323185,7.030326460481099,35.816904,1.618656889171054,0.91324200913242
ecg_108,ecg,64,4,563,3.552397868561279,3.261168384879725,19.261168384879724,2.950930325784356,5.422018900343643,32.382189,2.4037569337986264,1.1841326228537596
ecg_108,ecg,64,5,463,4.319654427645788,3.423209731176752,19.42320973117675,3.5583444651475387,4.496473052767418,30.39906,3.0202785617905397,1.4398848092152627
ecg_108,ecg,64,6,397,5.037783375314861,3.6527698666530437,19.652769866653045,4.1014337699953485,3.90107481853063,28.455186,3.7778151160426514,1.6792611251049538
ecg_108,ecg,64,10,263,7.604562737642586,4.438058143935553,20.438058143935553,5.953256564072579,2.687604645927525,25.931851,5.051349870566415,2.534854245880862
ecg_108,ecg,64,20,163,12.269938650306749,5.204771457820872,21.204771457820872,9.25824731454488,1.728188873812401,22.686876,7.3393263594857485,4.08997955010225
