buf_size,overload,trial,method,snr_db,spec_corr_global,sc_q1,sc_q2,sc_q3,sc_q4,n_q1,n_q2,n_q3,n_q4,max_gap,n_surviving
256,8,0,RDP,13.7592,0.9855,0.9921,0.9916,0.9921,0.9924,55,136,179,270,21.0000,640
256,8,1,PROPOSED,7.9599,0.9160,0.9990,0.9901,0.9893,0.7218,224,143,132,142,19.0000,641
256,8,1,RDP,13.7813,0.9857,0.9921,0.9916,0.9925,0.9924,55,136,180,270,21.0000,641
256,8,2,PROPOSED,8.1348,0.9188,0.9990,0.9895,0.9893,0.7279,225,143,132,142,13.0000,642
256,8,2,RDP,13.7819,0.9857,0.9921,0.9916,0.9925,0.9925,55,136,180,271,21.0000,642
256,8,3,PROPOSED,8.0714,0.9176,0.9989,0.9914,0.9893,0.7289,223,146,132,142,16.0000,643
256,8,3,RDP,13.7966,0.9858,0.9921,0.9916,0.9925,0.9927,55,136,180,272,21.0000,643
256,8,4,PROPOSED,7.8322,0.9079,0.9989,0.9898,0.9893,0.7142,224,143,132,142,19.0000,641
256,8,4,RDP,13.7813,0.9857,0.9921,0.9916,0.9925,0.9924,55,136,180,270,21.0000,641
256,10,0,PROPOSED,7.2279,0.8955,0.9980,0.9824,0.9891,0.6603,190,115,132,131,24.0000,568
256,10,0,RDP,12.6212,0.9811,0.9903,0.9905,0.9894,0.9888,52,129,143,244,21.0000,568
256,10,1,PROPOSED,7.3848,0.8932,0.9978,0.9833,0.9886,0.6859,190,117,132,131,24.0000,570
256,10,1,RDP,12.6350,0.9810,0.9903,0.9905,0.9901,0.9892,52,129,144,245,21.0000,570
256,10,2,PROPOSED,7.1390,0.8940,0.9981,0.9836,0.9889,0.6526,191,116,132,131,16.0000,570
256,10,2,RDP,12.6350,0.9810,0.9903,0.9905,0.9901,0.9892,52,129,144,245,21.0000,570
256,10,3,PROPOSED,6.9594,0.8845,0.9978,0.9837,0.9886,0.6172,189,116,132,130,24.0000,567
256,10,3,RDP,12.5958,0.9811,0.9903,0.9905,0.9894,0.9888,52,128,143,244,21.0000,567
256,10,4,PROPOSED,7.1949,0.8947,0.9980,0.9838,0.9884,0.6516,190,115,132,131,14.0000,568
256,10,4,RDP,12.6212,0.9811,0.9903,0.9905,0.9894,0.9888,52,129,143,244,21.0000,568
256,15,0,PROPOSED,5.8264,0.8428,0.9955,0.9820,0.9864,0.4231,146,93,132,99,20.0000,470
256,15,0,RDP,10.7063,0.9734,0.9875,0.9853,0.9896,0.9823,46,105,132,187,21.0000,470
256,15,1,PROPOSED,5.7338,0.8427,0.9956,0.9840,0.9881,0.3865,145,93,132,97,20.0000,467
256,15,1,RDP,10.6219,0.9726,0.9875,0.9844,0.9896,0.9819,46,103,132,186,21.0000,467
