signal,overload,trial,method,snr_db,spec_corr_global,max_gap,n_surviving,is_stationary
piecewise_transient,8,1,PROPOSED,16.5343,0.9930,17.0000,643,0
piecewise_transient,8,1,RDP,19.8231,0.9966,12.0000,643,0
piecewise_transient,8,2,PROPOSED,16.5613,0.9931,17.0000,638,0
piecewise_transient,8,2,RDP,19.7857,0.9965,12.0000,638,0
piecewise_transient,8,3,PROPOSED,16.5693,0.9933,16.0000,640,0
piecewise_transient,8,3,RDP,19.8055,0.9966,12.0000,640,0
piecewise_transient,8,4,PROPOSED,16.4804,0.9932,16.0000,641,0
piecewise_transient,8,4,RDP,19.8033,0.9966,12.0000,641,0
piecewise_transient,10,0,PROPOSED,15.7519,0.9918,18.0000,570,0
piecewise_transient,10,0,RDP,16.9566,0.9938,17.0000,570,0
piecewise_transient,10,1,PROPOSED,15.6906,0.9919,18.0000,569,0
piecewise_transient,10,1,RDP,16.9483,0.9938,17.0000,569,0
piecewise_transient,10,2,PROPOSED,15.7161,0.9915,17.0000,570,0
piecewise_transient,10,2,RDP,16.9566,0.9938,17.0000,570,0
piecewise_transient,10,3,PROPOSED,15.7200,0.9914,17.0000,570,0
piecewise_transient,10,3,RDP,16.9566,0.9938,17.0000,570,0
piecewise_transient,10,4,PROPOSED,15.6233,0.9917,17.0000,570,0
piecewise_transient,10,4,RDP,16.9566,0.9938,17.0000,570,0
piecewise_transient,15,0,PROPOSED,14.5048,0.9892,19.0000,471,0
piecewise_transient,15,0,RDP,15.7777,0.9923,17.0000,471,0
piecewise_transient,15,1,PROPOSED,14.5073,0.9898,19.0000,470,0
piecewise_transient,15,1,RDP,15.7599,0.9922,17.0000,470,0
piecewise_transient,15,2,PROPOSED,14.6151,0.9900,18.0000,465,0
piecewise_transient,15,2,RDP,15.6717,0.9918,17.0000,465,0
piecewise_transient,15,3,PROPOSED,14.3987,0.9893,19.0000,471,0
piecewise_transient,15,3,RDP,15.7777,0.9923,17.0000,471,0
piecewise_transient,15,4,PROPOSED,14.3995,0.9889,18.0000,471,0
piecewise_transient,15,4,RDP,15.7777,0.9923,17.0000,471,0
