alpha,overload,trial,method,snr_db,spec_corr_global,max_gap,n_surviving
0.5000,15,4,PROPOSED,15.3620,0.9949,16.0000,468
0.5000,15,4,RDP,19.6144,0.9974,10.0000,468
0.6000,5,0,PROPOSED,22.3042,0.9989,11.0000,840
0.6000,5,0,RDP,25.8955,0.9991,10.0000,840
0.6000,5,1,PROPOSED,22.2788,0.9988,11.0000,844
0.6000,5,1,RDP,25.9284,0.9991,10.0000,844
0.6000,5,2,PROPOSED,22.3169,0.9988,10.0000,843
0.6000,5,2,RDP,25.9268,0.9991,10.0000,843
0.6000,5,3,PROPOSED,22.3328,0.9988,11.0000,843
0.6000,5,3,RDP,25.9268,0.9991,10.0000,843
0.6000,5,4,PROPOSED,22.4107,0.9989,11.0000,844
0.6000,5,4,RDP,25.9284,0.9991,10.0000,844
0.6000,10,0,PROPOSED,16.6952,0.9954,15.0000,568
0.6000,10,0,RDP,21.7790,0.9984,10.0000,568
0.6000,10,1,PROPOSED,16.5116,0.9948,16.0000,569
0.6000,10,1,RDP,21.8057,0.9984,10.0000,569
0.6000,10,2,PROPOSED,16.6476,0.9955,15.0000,568
0.6000,10,2,RDP,21.7790,0.9984,10.0000,568
0.6000,10,3,PROPOSED,16.9850,0.9959,15.0000,569
0.6000,10,3,RDP,21.8057,0.9984,10.0000,569
0.6000,10,4,PROPOSED,16.9555,0.9957,16.0000,570
0.6000,10,4,RDP,21.8066,0.9984,10.0000,570
0.6000,15,0,PROPOSED,14.1419,0.9924,17.0000,469
0.6000,15,0,RDP,17.4461,0.9963,14.0000,469
0.6000,15,1,PROPOSED,14.2235,0.9927,18.0000,468
0.6000,15,1,RDP,17.3673,0.9962,14.0000,468
0.6000,15,2,PROPOSED,14.4501,0.9934,17.0000,468
0.6000,15,2,RDP,17.3673,0.9962,14.0000,468
0.6000,15,3,PROPOSED,14.3406,0.9933,18.0000,465
0.6000,15,3,RDP,17.1393,0.9960,14.0000,465
0.6000,15,4,PROPOSED,14.2458,0.9930,18.0000,468
0.6000,15,4,RDP,17.3673,0.9962,14.0000,468
0.7000,5,0,PROPOSED,21.1480,0.9982,11.0000,852
0.7000,5,0,RDP,25.6752,0.9991,10.0000,852
0.7000,5,1,PROPOSED,21.2152,0.9984,11.0000,846
0.7000,5,1,RDP,25.5588,0.9990,10.0000,846
0.7000,5,2,PROPOSED,21.1166,0.9984,11.0000,846
0.7000,5,2,RDP,25.5588,0.9990,10.0000,846
0.7000,5,3,PROPOSED,21.0844,0.9985,11.0000,846
0.7000,5,3,RDP,25.5588,0.9990,10.0000,846
0.7000,5,4,PROPOSED,21.1359,0.9984,11.0000,846
0.7000,5,4,RDP,25.5588,0.9990,10.0000,846
0.7000,10,0,PROPOSED,15.4285,0.9937,15.0000,575
0.7000,10,0,RDP,20.8884,0.9978,10.0000,575
0.7000,10,1,PROPOSED,15.5700,0.9943,16.0000,570
0.7000,10,1,RDP,20.8157,0.9977,10.0000,570
0.7000,10,2,PROPOSED,15.7359,0.9946,15.0000,571
0.7000,10,2,RDP,20.8302,0.9977,10.0000,571
0.7000,10,3,PROPOSED,15.2601,0.9937,15.0000,569
0.7000,10,3,RDP,20.8014,0.9977,10.0000,569
0.7000,10,4,PROPOSED,15.4720,0.9942,15.0000,571
0.7000,10,4,RDP,20.8302,0.9977,10.0000,571
0.7000,15,0,PROPOSED,13.4707,0.9916,17.0000,470
0.7000,15,0,RDP,15.4468,0.9928,17.0000,470
0.7000,15,1,PROPOSED,13.7402,0.9918,20.0000,471
0.7000,15,1,RDP,15.4909,0.9928,17.0000,471
0.7000,15,2,PROPOSED,13.3831,0.9913,17.0000,470
0.7000,15,2,RDP,15.4468,0.9928,17.0000,470
0.7000,15,3,PROPOSED,13.5249,0.9916,19.0000,471
0.7000,15,3,RDP,15.4909,0.9928,17.0000,471
0.7000,15,4,PROPOSED,13.4904,0.9917,18.0000,468
0.7000,15,4,RDP,15.3600,0.9925,17.0000,468
0.8000,5,0,PROPOSED,19.9325,0.9976,11.0000,848
0.8000,5,0,RDP,25.3794,0.9990,10.0000,848
0.8000,5,1,PROPOSED,19.6692,0.9974,10.0000,842
0.8000,5,1,RDP,25.2479,0.9989,10.0000,842
0.8000,5,2,PROPOSED,19.8005,0.9975,10.0000,842
0.8000,5,2,RDP,25.2479,0.9989,10.0000,842
0.8000,5,3,PROPOSED,19.8193,0.9975,11.0000,842
0.8000,5,3,RDP,25.2479,0.9989,10.0000,842
0.8000,5,4,PROPOSED,19.8245,0.9975,11.0000,847
0.8000,5,4,RDP,25.3572,0.9990,10.0000,847
0.8000,10,0,PROPOSED,14.7439,0.9927,18.0000,570
0.8000,10,0,RDP,19.0526,0.9968,10.0000,570
0.8000,10,1,PROPOSED,14.6262,0.9924,17.0000,571
0.8000,10,1,RDP,19.1045,0.9968,10.0000,571
0.8000,10,2,PROPOSED,14.7631,0.9927,17.0000,570
0.8000,10,2,RDP,19.0526,0.9968,10.0000,570
0.8000,10,3,PROPOSED,14.6197,0.9925,17.0000,569
0.8000,10,3,RDP,19.0013,0.9967,10.0000,569
0.8000,10,4,PROPOSED,14.5137,0.9928,18.0000,569
0.8000,10,4,RDP,19.0013,0.9967,10.0000,569
0.8000,15,0,PROPOSED,13.2427,0.9912,17.0000,467
0.8000,15,0,RDP,14.4082,0.9902,17.0000,467
0.8000,15,1,PROPOSED,13.3224,0.9909,17.0000,470
0.8000,15,1,RDP,14.4815,0.9904,17.0000,470
0.8000,15,2,PROPOSED,13.3664,0.9911,17.0000,470
0.8000,15,2,RDP,14.4815,0.9904,17.0000,470
0.8000,15,3,PROPOSED,13.5007,0.9916,17.0000,471
0.8000,15,3,RDP,14.5076,0.9904,17.0000,471
0.8000,15,4,PROPOSED,13.3906,0.9914,18.0000,472
0.8000,15,4,RDP,14.5340,0.9904,17.0000,472
0.9000,5,0,PROPOSED,18.5608,0.9964,11.0000,841
0.9000,5,0,RDP,24.9824,0.9989,10.0000,841
0.9000,5,1,PROPOSED,18.6103,0.9964,11.0000,841
0.9000,5,1,RDP,24.9824,0.9989,10.0000,841
0.9000,5,2,PROPOSED,18.5380,0.9964,11.0000,843
0.9000,5,2,RDP,25.0294,0.9989,10.0000,843
0.9000,5,3,PROPOSED,18.5447,0.9965,11.0000,842
0.9000,5,3,RDP,25.0059,0.9989,10.0000,842
0.9000,5,4,PROPOSED,18.7512,0.9964,10.0000,848
0.9000,5,4,RDP,25.1439,0.9989,10.0000,848
0.9000,10,0,PROPOSED,14.8601,0.9922,16.0000,571
0.9000,10,0,RDP,16.9266,0.9946,14.0000,571
0.9000,10,1,PROPOSED,14.8354,0.9921,17.0000,572
0.9000,10,1,RDP,16.9977,0.9947,14.0000,572
0.9000,10,2,PROPOSED,14.7505,0.9923,16.0000,571
0.9000,10,2,RDP,16.9266,0.9946,14.0000,571
0.9000,10,3,PROPOSED,14.7604,0.9920,17.0000,569
0.9000,10,3,RDP,16.7879,0.9945,14.0000,569
0.9000,10,4,PROPOSED,14.8430,0.9921,16.0000,569
0.9000,10,4,RDP,16.7879,0.9945,14.0000,569
0.9000,15,0,PROPOSED,13.6006,0.9899,18.0000,470
0.9000,15,0,RDP,14.3611,0.9894,17.0000,470
0.9000,15,1,PROPOSED,13.7234,0.9899,18.0000,471
0.9000,15,1,RDP,14.3654,0.9895,17.0000,471
0.9000,15,2,PROPOSED,13.5745,0.9894,17.0000,469
0.9000,15,2,RDP,14.3426,0.9894,17.0000,469
0.9000,15,3,PROPOSED,13.9599,0.9906,17.0000,480
0.9000,15,3,RDP,14.4580,0.9896,17.0000,480
0.9000,15,4,PROPOSED,13.6583,0.9895,18.0000,469
0.9000,15,4,RDP,14.3426,0.9894,17.0000,469
1.0000,5,0,PROPOSED,18.1545,0.9953,10.0000,845
1.0000,5,0,RDP,24.6440,0.9989,10.0000,845
1.0000,5,1,PROPOSED,18.1282,0.9954,12.0000,846
1.0000,5,1,RDP,24.6594,0.9989,10.0000,846
1.0000,5,2,PROPOSED,18.0783,0.9953,12.0000,845
1.0000,5,2,RDP,24.6440,0.9989,10.0000,845
1.0000,5,3,PROPOSED,18.2622,0.9955,11.0000,848
1.0000,5,3,RDP,24.6904,0.9989,10.0000,848
1.0000,5,4,PROPOSED,18.1204,0.9952,11.0000,843
1.0000,5,4,RDP,24.6134,0.9988,10.0000,843
1.0000,10,0,PROPOSED,14.1053,0.9896,17.0000,568
1.0000,10,0,RDP,15.3095,0.9908,17.0000,568
1.0000,10,1,PROPOSED,14.2869,0.9899,17.0000,573
1.0000,10,1,RDP,15.3509,0.9908,17.0000,573
1.0000,10,2,PROPOSED,14.1690,0.9891,17.0000,579
1.0000,10,2,RDP,15.4010,0.9907,17.0000,579
1.0000,10,3,PROPOSED,14.2185,0.9898,17.0000,572
1.0000,10,3,RDP,15.3426,0.9908,17.0000,572
1.0000,10,4,PROPOSED,14.3714,0.9902,16.0000,580
1.0000,10,4,RDP,15.4094,0.9907,17.0000,580
1.0000,15,0,PROPOSED,12.8258,0.9874,18.0000,470
1.0000,15,0,RDP,14.1958,0.9890,17.0000,470
1.0000,15,1,PROPOSED,12.9021,0.9879,20.0000,473
1.0000,15,1,RDP,14.2500,0.9891,17.0000,473
1.0000,15,2,PROPOSED,13.0024,0.9878,18.0000,470
1.0000,15,2,RDP,14.1958,0.9890,17.0000,470
1.0000,15,3,PROPOSED,12.8419,0.9874,18.0000,470
1.0000,15,3,RDP,14.1958,0.9890,17.0000,470
1.0000,15,4,PROPOSED,12.8300,0.9876,19.0000,470
1.0000,15,4,RDP,14.1958,0.9890,17.0000,470
