sample,original,proposed_recon,rdp_recon
322,-0.998027,-0.998027,-0.874577
323,-0.844328,-0.844328,-0.844328
324,-0.481754,-0.422164,-0.422164
325,7.84269e-15,4.10783e-15,4.10783e-15
326,0.481754,0.422164,0.422164
327,0.844328,0.844328,0.844328
328,0.998027,0.998027,0.874577
329,0.904827,0.904827,0.904827
330,0.587785,0.485992,0.485992
331,0.125333,0.0671569,0.0671569
332,-0.368125,-0.351678,-0.351678
333,-0.770513,-0.770513,-0.770513
334,-0.982287,-0.982287,-0.982287
335,-0.951057,-0.833417,-0.833417
336,-0.684547,-0.684547,-0.684547
337,-0.24869,-0.228182,-0.228182
338,0.24869,0.228182,0.228182
339,0.684547,0.684547,0.684547
340,0.951057,0.833417,0.833417
341,0.982287,0.982287,0.982287
342,0.770513,0.770513,0.770513
343,0.368125,0.351678,0.351678
344,-0.125333,-0.0671569,-0.0671569
345,-0.587785,-0.485992,-0.485992
346,-0.904827,-0.904827,-0.904827
347,-0.998027,-0.998027,-0.874577
348,-0.844328,-0.844328,-0.844328
349,-0.481754,-0.422164,-0.422164
350,2.15637e-14,3.88578e-15,3.88578e-15
351,0.481754,0.422164,0.422164
352,0.844328,0.844328,0.844328
353,0.998027,0.998027,0.874577
354,0.904827,0.904827,0.904827
355,0.587785,0.485992,0.485992
356,0.125333,0.0671569,0.0671569
357,-0.368125,-0.351678,-0.351678
358,-0.770513,-0.770513,-0.770513
359,-0.982287,-0.982287,-0.982287
360,-0.951057,-0.833417,-0.833417
361,-0.684547,-0.684547,-0.684547
362,-0.24869,-0.228182,-0.228182
363,0.24869,0.228182,0.228182
364,0.684547,0.684547,0.684547
365,0.951057,0.833417,0.833417
366,0.982287,0.982287,0.982287
367,0.770513,0.770513,0.770513
368,0.368125,0.351678,0.351678
369,-0.125333,-0.0671569,-0.0671569
370,-0.587785,-0.485992,-0.485992
371,-0.904827,-0.904827,-0.904827
372,-0.998027,-0.998027,-0.874577
373,-0.844328,-0.844328,-0.844328
374,-0.481754,-0.422164,-0.422164
375,6.86297e-15,3.66374e-15,3.66374e-15
376,0.481754,0.422164,0.422164
377,0.844328,0.844328,0.844328
378,0.998027,0.998027,0.874577
379,0.904827,0.904827,0.904827
380,0.587785,0.485992,0.485992
381,0.125333,0.0671569,0.0671569
382,-0.368125,-0.351678,-0.351678
383,-0.770513,-0.770513,-0.770513
384,-0.982287,-0.982287,-0.982287
385,-0.951057,-0.833417,-0.833417
386,-0.684547,-0.684547,-0.684547
387,-0.24869,-0.228182,-0.228182
388,0.24869,0.228182,0.228182
389,0.684547,0.684547,0.684547
390,0.951057,0.833417,0.833417
391,0.982287,0.982287,0.982287
392,0.770513,0.770513,0.770513
393,0.368125,0.351678,0.351678
394,-0.125333,-0.0671569,-0.0671569
395,-0.587785,-0.485992,-0.485992
396,-0.904827,-0.904827,-0.904827
397,-0.998027,-0.998027,-0.874577
398,-0.844328,-0.844328,-0.844328
399,-0.481754,-0.422164,-0.422164
400,2.0584e-14,3.44169e-15,3.44169e-15
401,0.481754,0.422164,0.422164
402,0.844328,0.844328,0.844328
403,0.998027,0.998027,0.874577
404,0.904827,0.904827,0.904827
405,0.587785,0.485992,0.485992
406,0.125333,0.0671569,0.0671569
407,-0.368125,-0.351678,-0.351678
408,-0.770513,-0.770513,-0.770513
409,-0.982287,-0.982287,-0.982287
