bin,norm_freq,orig_mag,proposed_mag,rdp_mag,proposed_err,rdp_err,proposed_rel_err,rdp_rel_err
154,0.077,3.3601,6.94597,3.63387,3.58587,0.273775,1.06719,0.0814784
155,0.0775,3.23442,0.759822,3.99495,2.4746,0.760536,0.765082,0.235139
156,0.078,3.11267,4.23068,2.90644,1.11801,0.20623,0.35918,0.0662549
157,0.0785,2.99477,3.58593,3.83288,0.591166,0.838114,0.1974,0.27986
158,0.079,2.88062,12.7718,2.37927,9.8912,0.501348,3.43371,0.174042
159,0.0795,2.77013,16.0203,5.76771,13.2502,2.99758,4.78322,1.0821
160,0.08,1000,940.066,951.585,59.938,48.419,0.0599378,0.0484188
161,0.0805,2.55983,11.784,1.14026,9.22414,1.41957,3.60343,0.554557
162,0.081,2.45983,8.86466,2.80244,6.40483,0.342611,2.60378,0.139283
163,0.0815,2.36315,7.37979,1.39439,5.01664,0.968762,2.12286,0.409945
164,0.082,2.26971,2.42085,2.22569,0.151138,0.0440228,0.0665889,0.0193957
165,0.0825,2.17943,5.28702,1.38008,3.10759,0.799353,1.42587,0.366771
166,0.083,2.09223,1.4036,1.56898,0.688628,0.523243,0.329136,0.250089
167,0.0835,2.00802,3.51033,1.69838,1.50232,0.309631,0.74816,0.154197
168,0.084,1.92672,0.954295,1.75782,0.972423,0.1689,0.504704,0.0876618
169,0.0845,1.84826,1.38949,1.68004,0.458767,0.168211,0.248216,0.0910109
170,0.085,1.77255,1.29724,1.95845,0.475315,0.185904,0.268153,0.104879
171,0.0855,1.69953,1.62433,1.81853,0.0751975,0.119003,0.0442461,0.0700214
172,0.086,1.62911,2.28397,0.927098,0.654863,0.702013,0.401976,0.430918
173,0.0865,1.56123,4.39837,1.55385,2.83714,0.00737503,1.81725,0.00472387
174,0.087,1.4958,1.03945,1.99766,0.456351,0.501854,0.305088,0.335508
175,0.0875,1.43277,2.6106,1.66603,1.17783,0.233269,0.822068,0.162811
176,0.088,1.37205,2.11102,1.81529,0.73897,0.443245,0.538589,0.323054
177,0.0885,1.31358,3.71587,1.21611,2.40229,0.0974663,1.82881,0.0741991
178,0.089,1.25729,3.26016,1.44175,2.00287,0.184466,1.59301,0.146718
179,0.0895,1.20312,1.10981,1.26128,0.0933102,0.0581614,0.0775571,0.0483423
180,0.09,1.15099,1.36008,1.25807,0.209087,0.107079,0.181658,0.0930318
181,0.0905,1.10086,1.43998,1.12512,0.339125,0.0242626,0.308055,0.0220398
182,0.091,1.05264,1.10179,1.25883,0.049151,0.206191,0.0466929,0.195879
183,0.0915,1.00629,0.186718,1.31681,0.819576,0.310512,0.814449,0.30857
184,0.092,0.961749,1.21399,1.49242,0.252244,0.530672,0.262276,0.551778
185,0.0925,0.918948,2.1902,1.05612,1.27125,0.137171,1.38338,0.14927
186,0.093,0.877835,1.11345,1.06447,0.235615,0.18663,0.268404,0.212603
187,0.0935,0.838355,0.831185,0.624613,0.00717079,0.213742,0.0085534,0.254954
188,0.094,0.800453,2.60644,0.859181,1.80599,0.0587279,2.2562,0.0733683
189,0.0945,0.764076,5.06551,0.869576,4.30144,0.1055,5.62959,0.138075
190,0.095,0.729173,7.12256,1.1497,6.39338,0.420523,8.768,0.576712
191,0.0955,0.695692,4.06926,0.382295,3.37357,0.313396,4.84923,0.450482
192,0.096,0.663584,2.90236,0.699564,2.23878,0.0359801,3.37377,0.0542208
193,0.0965,0.632803,0.661988,0.626853,0.0291854,0.00595004,0.0461209,0.00940268
194,0.097,0.6033,2.42911,0.722989,1.82581,0.119689,3.02637,0.198391
195,0.0975,0.575031,2.04034,0.428689,1.46531,0.146342,2.54823,0.254494
196,0.098,0.547951,2.46411,0.41812,1.91616,0.129831,3.49696,0.236938
197,0.0985,0.522018,5.22645,0.461927,4.70443,0.0600906,9.01201,0.115112
198,0.099,0.497189,1.88554,0.678508,1.38835,0.181319,2.7924,0.364688
199,0.0995,0.473424,2.09134,0.693121,1.61792,0.219697,3.41748,0.464058
200,0.1,0.450684,2.35772,0.688506,1.90703,0.237821,4.23141,0.527689
201,0.1005,0.428931,3.92315,0.36065,3.49422,0.0682813,8.14635,0.159189
202,0.101,0.408127,0.638906,0.338198,0.230779,0.0699287,0.565459,0.171341
203,0.1015,0.388236,1.89701,0.38967,1.50878,0.00143434,3.88624,0.0036945
204,0.102,0.369223,1.39344,0.705729,1.02421,0.336505,2.77397,0.911388
205,0.1025,0.351055,0.0497059,0.241805,0.301349,0.10925,0.85841,0.311204
206,0.103,0.333699,1.03099,0.575737,0.697292,0.242039,2.08959,0.725322
207,0.1035,0.317122,1.21495,0.35288,0.897832,0.0357586,2.83119,0.11276
208,0.104,0.301294,2.15081,1.38015,1.84952,1.07886,6.13858,3.58074
209,0.1045,0.286186,2.99907,2.10667,2.71288,1.82048,9.47943,6.36118
210,0.105,0.271768,3.21872,1.47664,2.94695,1.20487,10.8436,4.43345
211,0.1055,0.258013,3.14339,0.24247,2.88538,0.0155436,11.183,0.0602433
212,0.106,0.244894,2.51438,0.223177,2.26949,0.0217172,9.26722,0.0886798
213,0.1065,0.232385,0.721058,0.630496,0.488673,0.398111,2.10286,1.71316
214,0.107,0.22046,0.982626,0.56828,0.762167,0.347821,3.45717,1.57771
215,0.1075,0.209095,0.507574,0.662955,0.298479,0.45386,1.42748,2.17059
216,0.108,0.198267,1.13388,0.415645,0.935611,0.217378,4.71894,1.09639
217,0.1085,0.187954,1.77465,0.39121,1.5867,0.203256,8.44194,1.08141
218,0.109,0.178133,1.68746,0.195526,1.50933,0.0173928,8.47303,0.0976395
219,0.1095,0.168784,1.33518,0.147786,1.1664,0.0209978,6.91061,0.124407
220,0.11,0.159886,0.666044,0.305235,0.506159,0.145349,3.16575,0.909081
221,0.1105,0.151419,2.0754,0.132212,1.92398,0.0192068,12.7063,0.126845
222,0.111,0.143366,2.25345,0.572786,2.11009,0.42942,14.7182,2.99527
223,0.1115,0.135707,2.13218,0.966069,1.99647,0.830361,14.7116,6.11877
224,0.112,0.128426,1.03266,0.644091,0.904237,0.515665,7.04091,4.01527
225,0.1125,0.121506,1.66333,0.662794,1.54182,0.541288,12.6893,4.45484
226,0.113,0.11493,0.830905,0.357306,0.715976,0.242377,6.22968,2.10891
227,0.1135,0.108683,2.096,1.10941,1.98732,1.00072,18.2855,9.20775
228,0.114,0.10275,1.21496,0.99467,1.11221,0.891919,10.8244,8.68047
229,0.1145,0.0971174,2.19106,0.286403,2.09395,0.189285,21.561,1.94903
230,0.115,0.0917708,2.2702,0.213141,2.17843,0.12137,23.7378,1.32254
231,0.1155,0.0866971,0.235381,0.345688,0.148684,0.258991,1.71498,2.98731
232,0.116,0.0818837,1.94599,0.397501,1.86411,0.315617,22.7654,3.85445
233,0.1165,0.0773185,0.813636,0.5391,0.736317,0.461781,9.52318,5.97246
234,0.117,0.0729897,2.92933,0.935984,2.85634,0.862994,39.1335,11.8235
235,0.1175,0.0688864,2.56796,0.838349,2.49907,0.769462,36.2782,11.17
236,0.118,0.0649976,1.89525,0.55068,1.83026,0.485682,28.1588,7.47231
237,0.1185,0.0613133,3.10951,0.836518,3.0482,0.775205,49.7151,12.6433
238,0.119,0.0578236,1.49758,0.392547,1.43976,0.334723,24.8991,5.7887
239,0.1195,0.054519,10.2683,2.33168,10.2138,2.27716,187.344,41.7683
240,0.12,0.0513906,1.66387,18.0881,1.61248,18.0367,31.377,350.974
241,0.1205,0.0484297,2.08678,2.37768,2.03835,2.32925,42.0888,48.0955
242,0.121,0.0456282,3.78864,0.446205,3.74301,0.400577,82.0329,8.77915
243,0.1215,0.0429781,2.43041,0.755371,2.38743,0.712393,55.55,16.5757
244,0.122,0.040472,2.89902,0.44117,2.85854,0.400698,70.6302,9.90062
245,0.1225,0.0381026,0.517587,0.600149,0.479484,0.562046,12.584,14.7509
246,0.123,0.035863,1.52663,0.791843,1.49077,0.75598,41.5685,21.0796
247,0.1235,0.0337468,2.98703,0.600557,2.95328,0.56681,87.513,16.796
248,0.124,0.0317476,0.746818,0.127879,0.715071,0.0961316,22.5236,3.02799
249,0.1245,0.0298595,1.35108,0.281292,1.32122,0.251433,44.248,8.42053
250,0.125,0.0280767,2.04537,0.315208,2.0173,0.287132,71.8495,10.2267
251,0.1255,0.0263939,1.72387,0.217887,1.69747,0.191493,64.3131,7.25519
252,0.126,0.0248058,0.727458,0.48536,0.702652,0.460554,28.3261,18.5664
253,0.1265,0.0233075,1.47085,0.493807,1.44754,0.4705,62.1061,20.1866
254,0.127,0.0218943,2.55142,0.15429,2.52952,0.132396,115.533,6.04704
255,0.1275,0.0205617,3.16915,0.255721,3.14859,0.235159,153.129,11.4367
256,0.128,0.0193055,2.22412,0.285743,2.20482,0.266438,114.207,13.8011
257,0.1285,0.0181215,1.33985,0.345132,1.32173,0.32701,72.9368,18.0454
258,0.129,0.017006,2.29955,0.211515,2.28255,0.194509,134.22,11.4377
259,0.1295,0.0159552,2.82579,0.298449,2.80983,0.282494,176.108,17.7055
260,0.13,0.0149656,3.82409,0.501496,3.80912,0.486531,254.525,32.5099
261,0.1305,0.0140339,2.71418,0.640105,2.70015,0.626071,192.401,44.6113
262,0.131,0.013157,1.33564,0.417673,1.32248,0.404516,100.515,30.7452
263,0.1315,0.0123319,0.731994,0.473875,0.719662,0.461543,58.3579,37.4269
264,0.132,0.0115556,1.18498,0.392059,1.17343,0.380504,101.546,32.9281
265,0.1325,0.0108255,2.18011,0.296437,2.16928,0.285611,200.386,26.3831
266,0.133,0.0101391,2.27482,0.568387,2.26468,0.558248,223.361,55.059
267,0.1335,0.00949383,1.02725,0.62421,1.01775,0.614716,107.202,64.749
268,0.134,0.00888744,0.753831,0.526798,0.744944,0.51791,83.8198,58.2744
269,0.1345,0.00831773,2.6505,0.541148,2.64218,0.53283,317.657,64.0596
270,0.135,0.00778262,0.935276,1.70681,0.927493,1.69903,119.175,218.31
271,0.1355,0.00728014,2.06193,1.48498,2.05465,1.4777,282.227,202.977
272,0.136,0.00680842,2.67106,0.602168,2.66425,0.59536,391.317,87.4447
273,0.1365,0.00636569,2.00358,0.440127,1.99722,0.433762,313.747,68.1406
274,0.137,0.00595029,0.584169,0.268993,0.578218,0.263043,97.1749,44.2067
275,0.1375,0.00556062,1.96165,0.845066,1.95609,0.839505,351.776,150.973
276,0.138,0.00519519,3.14194,0.464571,3.13675,0.459375,603.78,88.4233
277,0.1385,0.00485257,2.83789,0.920076,2.83304,0.915223,583.823,188.606
278,0.139,0.00453143,2.21196,0.259115,2.20743,0.254584,487.138,56.1818
279,0.1395,0.0042305,0.628526,0.176058,0.624295,0.171828,147.57,40.6163
280,0.14,0.00394859,1.5572,0.360709,1.55325,0.356761,393.369,90.3515
281,0.1405,0.00368454,1.64517,0.42295,1.64149,0.419266,445.506,113.79
282,0.141,0.00343731,1.41432,0.569714,1.41088,0.566277,410.461,164.744
283,0.1415,0.00320588,5.00519,0.948156,5.00198,0.944951,1560.25,294.756
284,0.142,0.00298929,3.14908,0.707261,3.14609,0.704271,1052.45,235.599
285,0.1425,0.00278664,1.9211,0.718611,1.91832,0.715824,688.398,256.877
286,0.143,0.00259709,1.51838,0.350863,1.51578,0.348266,583.647,134.098
287,0.1435,0.00241984,3.21644,0.340205,3.21402,0.337785,1328.2,139.59
288,0.144,0.00225413,1.95456,1.507,1.9523,1.50475,866.101,667.551
289,0.1445,0.00209925,3.35687,2.68644,3.35477,2.68434,1598.08,1278.71
290,0.145,0.00195453,2.23308,2.55934,2.23113,2.55738,1141.52,1308.44
291,0.1455,0.00181933,0.496709,0.590494,0.49489,0.588675,272.017,323.566
292,0.146,0.00169307,2.07821,0.515489,2.07652,0.513795,1226.48,303.469
293,0.1465,0.00157519,1.92285,0.480625,1.92128,0.47905,1219.71,304.123
294,0.147,0.00146515,0.429343,0.430459,0.427878,0.428994,292.038,292.799
295,0.1475,0.00136246,1.92923,0.327112,1.92786,0.325749,1414.99,239.089
296,0.148,0.00126665,0.117486,0.693971,0.116219,0.692705,91.753,546.877
297,0.1485,0.0011773,1.80959,0.606032,1.80841,0.604855,1536.07,513.766
298,0.149,0.00109397,2.18585,0.518573,2.18475,0.517479,1997.08,473.028
299,0.1495,0.00101629,2.75524,0.574025,2.75423,0.573009,2710.07,563.822
300,0.15,0.0009439,0.976925,0.724568,0.975981,0.723624,1033.99,766.632
301,0.1505,0.000876446,1.75098,0.420115,1.75011,0.419238,1996.82,478.339
302,0.151,0.000813611,1.49895,0.257632,1.49814,0.256819,1841.34,315.653
303,0.1515,0.000755095,0.721435,0.469994,0.720679,0.469239,954.422,621.431
304,0.152,0.000700615,1.65977,0.131115,1.65907,0.130415,2368.03,186.143
305,0.1525,0.000649905,1.55348,0.215931,1.55283,0.215281,2389.32,331.25
306,0.153,0.000602716,2.48588,0.250214,2.48528,0.249611,4123.47,414.144
307,0.1535,0.000558816,3.68578,0.415479,3.68522,0.41492,6594.69,742.498
308,0.154,0.000517986,1.14271,0.887408,1.14219,0.88689,2205.06,1712.19
309,0.1545,0.00048002,3.12749,0.712601,3.12701,0.712121,6514.32,1483.52
310,0.155,0.000444728,0.654991,0.727398,0.654546,0.726953,1471.79,1634.6
311,0.1555,0.000411929,1.87454,0.471798,1.87412,0.471386,4549.63,1144.34
312,0.156,0.000381454,0.45051,0.455269,0.450128,0.454888,1180.03,1192.51
313,0.1565,0.000353147,1.10469,0.169422,1.10434,0.169069,3127.13,478.749
314,0.157,0.00032686,1.65057,0.670355,1.65025,0.670028,5048.79,2049.9
315,0.1575,0.000302455,2.51503,0.83625,2.51472,0.835947,8314.38,2763.88
316,0.158,0.000279803,1.75413,0.706686,1.75385,0.706407,6268.17,2524.66
317,0.1585,0.000258783,1.08441,0.521449,1.08416,0.52119,4189.43,2014
318,0.159,0.000239284,0.729595,0.444608,0.729355,0.444369,3048.07,1857.08
319,0.1595,0.000221199,1.73451,0.844908,1.73429,0.844686,7840.4,3818.66
320,0.16,0.000204431,6.37109,2.5948,6.37088,2.59459,31164,12691.8
321,0.1605,0.000188887,2.42907,0.406482,2.42888,0.406293,12858.9,2150.98
322,0.161,0.000174482,3.44454,0.617503,3.44436,0.617329,19740.5,3538.06
323,0.1615,0.000161136,1.27847,0.607468,1.27831,0.607307,7933.11,3768.9
