method,sample_idx,value
PROPOSED,1152,0.844328
PROPOSED,1154,0.904827
PROPOSED,1159,-0.982287
PROPOSED,1161,-0.684547
PROPOSED,1164,0.684547
PROPOSED,1166,0.982287
PROPOSED,1171,-0.904827
PROPOSED,1173,-0.844328
PROPOSED,1177,0.844328
PROPOSED,1178,0.998027
PROPOSED,1180,0.587785
PROPOSED,1183,-0.770513
PROPOSED,1185,-0.951057
PROPOSED,1190,0.951057
PROPOSED,1192,0.770513
PROPOSED,1196,-0.904827
PROPOSED,1198,-0.844328
PROPOSED,1202,0.844328
PROPOSED,1204,0.904827
PROPOSED,1209,-0.982287
PROPOSED,1211,-0.684547
PROPOSED,1214,0.684547
PROPOSED,1216,0.982287
PROPOSED,1221,-0.904827
PROPOSED,1222,-0.998027
PROPOSED,1224,-0.481754
PROPOSED,1227,0.844328
PROPOSED,1229,0.904827
PROPOSED,1233,-0.770513
PROPOSED,1235,-0.951057
PROPOSED,1240,0.951057
PROPOSED,1241,0.982287
PROPOSED,1246,-0.904827
PROPOSED,1248,-0.844328
PROPOSED,1252,0.844328
PROPOSED,1254,0.904827
PROPOSED,1259,-0.982287
PROPOSED,1261,-0.684547
PROPOSED,1264,0.684547
PROPOSED,1266,0.982287
PROPOSED,1271,-0.904827
PROPOSED,1273,-0.844328
PROPOSED,1277,0.844328
PROPOSED,1278,0.998027
PROPOSED,1280,0.587785
PROPOSED,1283,-0.770513
PROPOSED,1285,-0.951057
PROPOSED,1290,0.951057
PROPOSED,1292,0.770513
PROPOSED,1296,-0.904827
PROPOSED,1298,-0.844328
PROPOSED,1302,0.844328
PROPOSED,1304,0.904827
PROPOSED,1309,-0.982287
PROPOSED,1311,-0.684547
PROPOSED,1314,0.684547
PROPOSED,1316,0.982287
PROPOSED,1321,-0.904827
PROPOSED,1322,-0.998027
PROPOSED,1327,0.844328
PROPOSED,1329,0.904827
PROPOSED,1333,-0.770513
PROPOSED,1335,-0.951057
PROPOSED,1339,0.684547
PROPOSED,1341,0.982287
PROPOSED,1346,-0.904827
PROPOSED,1348,-0.844328
PROPOSED,1353,0.998027
PROPOSED,1355,0.587785
PROPOSED,1358,-0.770513
PROPOSED,1360,-0.951057
PROPOSED,1365,0.951057
PROPOSED,1366,0.982287
PROPOSED,1371,-0.904827
PROPOSED,1373,-0.844328
PROPOSED,1377,0.844328
PROPOSED,1379,0.904827
PROPOSED,1383,-0.770513
PROPOSED,1385,-0.951057
PROPOSED,1389,0.684547
PROPOSED,1391,0.982287
PROPOSED,1396,-0.904827
PROPOSED,1398,-0.844328
PROPOSED,1402,0.844328
PROPOSED,1403,0.998027
PROPOSED,1405,0.587785
PROPOSED,1408,-0.770513
PROPOSED,1410,-0.951057
PROPOSED,1415,0.951057
PROPOSED,1417,0.770513
PROPOSED,1421,-0.904827
PROPOSED,1423,-0.844328
PROPOSED,1427,0.844328
PROPOSED,1429,0.904827
PROPOSED,1434,-0.982287
PROPOSED,1436,-0.684547
PROPOSED,1439,0.684547
PROPOSED,1441,0.982287
PROPOSED,1446,-0.904827
PROPOSED,1447,-0.998027
PROPOSED,1452,0.844328
PROPOSED,1454,0.904827
PROPOSED,1458,-0.770513
PROPOSED,1460,-0.951057
PROPOSED,1464,0.684547
PROPOSED,1466,0.982287
PROPOSED,1471,-0.904827
PROPOSED,1473,-0.844328
PROPOSED,1477,0.844328
PROPOSED,1478,0.998027
PROPOSED,1480,0.587785
PROPOSED,1484,-0.982287
PROPOSED,1486,-0.684547
PROPOSED,1489,0.684547
PROPOSED,1491,0.982287
PROPOSED,1496,-0.904827
PROPOSED,1498,-0.844328
PROPOSED,1502,0.844328
PROPOSED,1504,0.904827
PROPOSED,1509,-0.982287
PROPOSED,1511,-0.684547
PROPOSED,1515,0.951057
PROPOSED,1517,0.770513
PROPOSED,1521,-0.904827
PROPOSED,1522,-0.998027
PROPOSED,1528,0.998027
PROPOSED,1534,-0.982287
PROPOSED,1535,-0.951057
PROPOSED,1540,0.951057
PROPOSED,1542,0.770513
PROPOSED,1546,-0.904827
PROPOSED,1548,-0.844328
PROPOSED,1553,0.998027
PROPOSED,1559,-0.982287
PROPOSED,1560,-0.951057
PROPOSED,1565,0.951057
PROPOSED,1566,0.982287
PROPOSED,1571,-0.904827
PROPOSED,1572,-0.998027
PROPOSED,1577,0.844328
PROPOSED,1579,0.904827
PROPOSED,1583,-0.770513
PROPOSED,1585,-0.951057
PROPOSED,1589,0.684547
PROPOSED,1591,0.982287
PROPOSED,1596,-0.904827
PROPOSED,1598,-0.844328
PROPOSED,1602,0.844328
PROPOSED,1603,0.998027
PROPOSED,1609,-0.982287
PROPOSED,1610,-0.951057
PROPOSED,1615,0.951057
PROPOSED,1616,0.982287
PROPOSED,1621,-0.904827
PROPOSED,1623,-0.844328
PROPOSED,1627,0.844328
PROPOSED,1629,0.904827
PROPOSED,1634,-0.982287
PROPOSED,1636,-0.684547
PROPOSED,1639,0.684547
PROPOSED,1641,0.982287
PROPOSED,1646,-0.904827
PROPOSED,1647,-0.998027
PROPOSED,1652,0.844328
PROPOSED,1654,0.904827
PROPOSED,1658,-0.770513
PROPOSED,1660,-0.951057
PROPOSED,1664,0.684547
PROPOSED,1666,0.982287
PROPOSED,1671,-0.904827
PROPOSED,1673,-0.844328
PROPOSED,1678,0.998027
PROPOSED,1684,-0.982287
PROPOSED,1685,-0.951057
PROPOSED,1690,0.951057
PROPOSED,1691,0.982287
PROPOSED,1696,-0.904827
PROPOSED,1698,-0.844328
PROPOSED,1702,0.844328
PROPOSED,1704,0.904827
PROPOSED,1709,-0.982287
PROPOSED,1711,-0.684547
PROPOSED,1714,0.684547
PROPOSED,1716,0.982287
PROPOSED,1721,-0.904827
PROPOSED,1722,-0.998027
PROPOSED,1727,0.844328
PROPOSED,1729,0.904827
PROPOSED,1733,-0.770513
PROPOSED,1735,-0.951057
PROPOSED,1740,0.951057
PROPOSED,1742,0.770513
PROPOSED,1746,-0.904827
PROPOSED,1748,-0.844328
PROPOSED,1753,0.998027
PROPOSED,1759,-0.982287
PROPOSED,1760,-0.951057
PROPOSED,1765,0.951057
PROPOSED,1766,0.982287
PROPOSED,1771,-0.904827
PROPOSED,1772,-0.998027
